feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Pseudoalteromonadaceae.g__Algicola.s__uncultured_bacterium	timepoint	timepoint	1.66384073024499	0.0812250144606782	63	63	3.70571884708843e-26	7.95247264585177e-23
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Pseudoalteromonadaceae.g__Algicola	timepoint	timepoint	1.38430223034734	0.0985174537371404	63	63	4.59401878716637e-20	4.92938215862951e-17
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Vibrio.s__Vibrio_mediterranei	timepoint	timepoint	-1.14296451120467	0.0799740895233434	63	63	1.9298561229085e-19	1.38049041325388e-16
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Nitrincolaceae.g__Amphritea	timepoint	timepoint	0.957579713614232	0.0719535998767816	63	63	7.14362100158719e-19	3.30676595696284e-16
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Nitrincolaceae.g__Amphritea.__	timepoint	timepoint	0.978823905018211	0.0738441907095958	63	63	7.70448731817996e-19	3.30676595696284e-16
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassotalea.s__uncultured_marine	timepoint	timepoint	1.57447846938701	0.11678747373279	63	61	1.04712403539832e-18	3.74521363327464e-16
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales	timepoint	timepoint	0.794327158256109	0.059315143081371	63	63	1.86167895276649e-18	4.9939537907961e-16
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae	timepoint	timepoint	0.794327158256109	0.059315143081371	63	63	1.86167895276649e-18	4.9939537907961e-16
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae	timepoint	timepoint	1.2332529988063	0.0986723679410415	63	63	2.38316765330911e-18	5.52626722572026e-16
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassotalea	timepoint	timepoint	1.23636818887403	0.0990975759230741	63	63	2.57514782186405e-18	5.52626722572026e-16
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Aquibacter	timepoint	timepoint	1.6636093453945	0.131896325716119	63	50	2.08930432652132e-17	4.07604280428613e-15
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassotalea.__	timepoint	timepoint	1.18707183698171	0.103230696628193	63	63	8.29751586492967e-17	1.43433479940039e-14
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	timepoint	timepoint	-1.63688207153077	0.134638731369582	63	62	9.35726336980681e-17	1.43433479940039e-14
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas	timepoint	timepoint	-1.63716762987353	0.134619178869464	63	62	9.26582643919085e-17	1.43433479940039e-14
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.__	timepoint	timepoint	-1.61955463790376	0.134571979546471	63	62	1.38175619713306e-16	1.97683253269836e-14
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.__	timepoint	timepoint	0.873858240818954	0.0739030983403798	63	63	3.07247959760995e-16	3.87855365674762e-14
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.__.__	timepoint	timepoint	0.873858240818954	0.0739030983403798	63	63	3.07247959760995e-16	3.87855365674762e-14
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassotalea.s__Thalassotalea_montiporae	timepoint	timepoint	2.06806600038911	0.178170319957816	63	38	8.56331987809425e-16	1.02093802546613e-13
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Nitrincolaceae.g__Nitrincolaceae	timepoint	timepoint	1.15282933162679	0.105730191232485	63	63	2.82052221953786e-15	3.02642034156413e-13
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Nitrincolaceae.g__Nitrincolaceae.s__uncultured_gamma	timepoint	timepoint	1.15282933162679	0.105730191232485	63	63	2.82052221953786e-15	3.02642034156413e-13
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	timepoint	timepoint	-1.54120863438524	0.139945137830672	63	62	3.2906981564002e-15	3.36278011601659e-13
d__Bacteria.p__Proteobacteria	timepoint	timepoint	0.093935422607915	0.00927679381134395	63	63	2.21767833823473e-14	2.13574075354038e-12
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Shewanellaceae	timepoint	timepoint	1.82138508653677	0.180185537331988	63	60	2.28900453548131e-14	2.13574075354038e-12
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__SAR11_clade.f__Clade_II	timepoint	timepoint	-1.21042834878321	0.117653477377273	63	62	2.75180880175553e-14	2.36215267542695e-12
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__SAR11_clade.f__Clade_II.g__Clade_II	timepoint	timepoint	-1.21042834878321	0.117653477377273	63	62	2.75180880175553e-14	2.36215267542695e-12
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Shewanellaceae.g__Psychrobium.s__uncultured_bacterium	timepoint	timepoint	1.89422941171566	0.189654166687165	63	60	3.50433681352259e-14	2.89242569300749e-12
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Shewanellaceae.g__Psychrobium	timepoint	timepoint	1.89223119928262	0.189870112933861	63	60	3.80502778190309e-14	3.02429245183853e-12
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Aquibacter.__	timepoint	timepoint	1.48925217211203	0.144199997214775	63	47	4.45447220608096e-14	3.41403476937491e-12
