,101112C14,101112C4,101112C9,101112H14,101112H4,101112H9,101112L14,101112L4,101112L9,101112M14,101112M4,101112M9,123C14,123C4,123C9,123H14,123H4,123H9,123L14,123L4,123L9,123M4,123M9,131415C14,131415C4,131415C9,131415H14,131415H4,131415H9,131415L14,131415L9,131415M14,131415M4,131415M9,13M14,456C4,456H4,456H9,456L14,456L4,456L9,456M14,456M4,456M9,45C14,45C9,45H14,67C9,6C14,789H14,789H4,789H9,789L14,789L4,789L9,789M14,789M4,7C14,89C14,89C9,89M9
Montipora_capitata_HIv3___TS.g26493.t2a,398.20795954503,0,82.6250287292515,335.355692923492,16.3110124964661,102.649257575253,410.705279169101,10.9295867515283,84.8818897746998,340.512719398742,155.317412567798,91.9141452543785,549.042033012991,0,100.302631093146,310.209836332545,0,215.762516655968,397.211603217283,0,117.749248315821,0,131.872927593402,221.800204326797,0,116.23116448427,290.552532216326,0,101.191684773755,340.890734802485,141.372873056141,231.010219587182,68.1276086718906,84.9723983615364,556.379955049858,0,0,78.0620096689843,340.43461536577,18.409527600649,75.342546811896,309.311268668617,24.2603358975416,141.98063961327,173.77346942062,157.817310238613,147.001386514826,84.1672605900143,522.293561127896,303.848326340686,0,80.6475924526537,374.404480847823,53.9846498330459,112.050174261778,270.349761197321,50.706104385776,224.046913753376,221.133372409134,144.873562314661,113.386043101397
Montipora_capitata_HIv3___RNAseq.g5198.t1,320.367631427181,47.6603185931028,163.184431740272,276.521360831652,0,114.88559291535,233.240035083687,9.10798895960696,193.307661384718,236.37843560513,167.064107635951,164.98874520817,278.456801689384,110.529987112379,213.143091072935,277.591205473544,0,170.698193556937,302.817210817738,52.0292849150485,207.379273153236,72.8658561670609,228.911496954585,178.784407124025,50.2505064282819,127.570790287613,224.024148671466,0,73.0828834477122,233.273769253525,81.9169918643062,185.022074021215,78.5199557574332,78.9566533447905,337.16386997668,16.4971524284032,0,120.845995737562,147.622089848874,0,131.659197964222,212.700192308646,29.9686502263749,225.275948186388,363.526108443136,132.143680821805,92.7035770814219,125.315699100688,281.234994453483,323.809165297373,31.1657534150296,119.802582991261,283.780074706212,0,150.666336013012,278.212282216483,13.7043525366962,265.048963329158,251.083716302019,156.292168211383,101.952156402096
Montipora_capitata_HIv3___RNAseq.g5394.t1,884.549183157377,486.816111343836,833.824248259363,817.061786925439,456.70834990105,743.017473706965,724.438478534386,511.868979529911,796.154951536418,918.681595676155,488.140439498795,726.749732352943,849.145653208264,407.653608382216,715.283137982996,688.9853661034,444.504449454249,716.932412939134,1020.21459305428,748.643599610976,660.801751742515,345.216925119354,721.568849095976,685.564267919192,326.015480729829,645.649944177865,715.519553635531,541.679452163715,641.683778843099,552.392285592348,615.69868078656,726.184903239337,370.660379384354,639.92487615635,1032.93666173068,412.428810710079,512.778922102137,891.708341218782,811.168320241004,857.883986190246,873.66912868744,867.162322489095,585.102218705414,992.917939695465,711.073047284376,829.862315560936,884.656992719855,788.366674193134,848.604547723749,781.429880637725,474.26146501132,760.892502705472,689.93617230438,662.350126797755,814.737707767842,663.475812155395,486.504515052715,918.885218171527,836.113767009704,872.80968823069,947.106948258728
Montipora_capitata_HIv3___TS.g28558.t3a,574.474487679664,372.771777567483,536.374144834058,657.473661126321,420.008571784001,516.645269915182,635.705856491679,528.263359657203,503.095580270483,652.915570779576,429.406964158031,547.488604341298,684.826621822655,393.391674561264,514.050984352372,525.892211808393,432.490815685215,624.07259564416,692.477262643058,647.475545609493,690.67842668832,244.877057610615,503.854110144604,815.283781358804,338.271701809898,610.213613542417,650.348892203832,383.005673247071,644.896213280361,775.09097730638,674.493941076263,656.133193133038,354.494506140177,692.562645052877,680.284698786871,368.436404234338,419.191894494143,599.726401206908,717.774753193758,942.567813153231,611.872804411761,723.803951116234,333.936388236749,761.962765924547,910.812667308077,707.535022457322,566.816157012123,589.1708241301,823.126813034583,833.919494190496,246.615961805886,519.534128191371,754.762389836335,662.350126797755,588.738203748324,719.118268598692,248.048780914201,603.315872329353,699.340529898863,773.610549502917,641.250479052438
Montipora_capitata_HIv3___RNAseq.g6841.t1a,111.935678450461,42.553855886699,81.2479449170973,107.372656067609,0,129.841113886579,155.915893017899,29.1455646707423,87.3601931257859,86.8850466008046,50.9023452953289,105.044737433575,144.640105471164,43.9742959479358,47.0168583249121,145.119623005354,0,32.7740531629318,123.090287689006,0,94.0236535059164,13.1397445547159,155.510527822409,93.4249345497722,19.60995372811,68.0377548200604,97.0771310909686,0,65.8549059638725,101.396331702199,49.5465676598626,128.873756760442,24.2488098662661,62.4133545487392,139.39283670414,21.9962032378709,19.4972974183322,112.589437022574,87.3681756248435,0,59.3607944578574,146.474857707053,21.4061787331249,121.15681246999,105.861998612562,84.5719557259553,10.5946945235911,61.7226577660105,137.187802172431,84.2790978171246,0,54.9338673228221,123.037514907588,0,77.8653753344557,108.865675649928,28.779140327062,126.667046010896,92.8460660679433,87.7805328310506,136.253816499998
Montipora_capitata_HIv3___RNAseq.g6929.t1,994.554936117313,238.301592965514,1144.35664790013,909.725859970088,424.086324908118,1176.7275818726,964.016558049695,400.751514222706,1283.14156002484,1070.09156659079,558.620609907712,1018.47723685597,760.590486593265,391.014685591105,967.920390048857,716.944192553973,504.572618299417,654.115477710181,979.436215537672,410.453247663161,1108.07315019589,428.833481376637,1006.46413606663,1069.34583358768,324.789858621822,1019.14886907549,878.446207214779,547.15096178153,949.274376210943,883.330006240015,1135.60733076405,952.382409918452,630.46905652292,1053.50734605763,795.84970015697,349.189726401201,417.242164752309,1104.87767531485,908.327756927252,471.283906576616,950.533747152102,1012.07893702905,540.862782656956,1076.21324826858,1242.38043654742,1087.35371647657,806.521120608371,1137.19320974953,971.093656806276,862.012526796204,490.521858097422,1232.50559770034,832.156955665302,271.999581851116,1308.51813671805,1023.94216041849,509.801914365099,1188.32725824095,960.407694165177,1075.48994289751,825.145490132855
Montipora_capitata_HIv3___TS.g28731.t1,405.284353010289,125.959413424629,506.078300966665,460.378648618654,101.943828102913,643.087401762845,544.438016676323,134.798236602183,567.531467398723,492.56155095015,246.680596431209,598.869182433808,602.17513298199,185.405139672378,527.84259612768,507.918680518739,122.539064444144,386.460710212905,324.716709854433,83.8249590298004,712.646570030824,106.312478669974,660.608722189592,527.61563756526,368.912254510069,504.613348248781,414.784105570502,90.2799086939525,351.761570880197,460.948968044966,523.211754488149,397.85093373348,242.488098662661,419.598214918029,418.17851011242,203.464879950306,132.581622444659,733.332533140362,520.443184110059,58.910488322077,547.184759169224,586.678552411759,215.488865913458,675.827844559163,305.601618636263,632.024347702005,311.219151630488,392.780549420067,484.076959094148,584.778652397768,40.650982715256,613.6229860528,471.643807145755,139.114289954387,646.978972291169,517.716768646325,76.7443742054988,448.826006963463,611.985360211282,592.340180892455,614.571410087404
Montipora_capitata_HIv3___RNAseq.g7017.t1,36.0252758231368,5.10646270640388,37.8698048342403,57.3634737895447,0,130.520910294362,55.7747909982729,0,56.3814012372094,65.8026455873741,56.1230986589524,52.5223687167877,83.6354351363875,5.94247242539674,89.0185850951669,50.5921621486555,9.610907015227,92.8598172949735,25.6752747326761,0,83.4789447015145,0,31.1021055644817,67.8843049606259,0,61.6592153056797,57.0243287527368,0,53.8082768241397,59.0960215442264,86.5413381792267,79.1423900437569,28.867630793174,67.6771314383919,21.4450518006369,0,0,81.8149909030701,37.6586963900188,0,48.7062928884984,82.5868878561043,32.8228073907915,41.6476542865591,117.846375813984,26.428736164361,82.1088825578308,97.2599455706832,48.9956436330109,31.789484264354,14.9053603289272,48.5054360403642,19.8447604689659,0,42.4144727431588,21.7731351299856,41.1130576100886,52.7169208831474,35.9404126714619,72.0799497230578,34.3016600979016
Montipora_capitata_HIv3___RNAseq.g7364.t1,337.093652345066,171.917577782264,257.514672872834,361.831142364821,116.215964037321,227.73179660735,540.63519001735,69.2207160930129,212.514512355635,382.038660788832,298.888130067444,248.339460780464,545.106247830102,127.16890990349,313.445722166081,453.332400305716,120.136337690337,223.956029946701,293.755349147382,104.058569830097,279.434783316649,243.682535378368,312.265139867396,296.405727600356,105.403501288591,294.830270886928,404.601189721799,153.202269298828,200.77715232888,398.120566192683,279.442641601625,392.50347494674,286.366897468286,230.854215017626,264.488972207855,54.9905080946773,181.32486599049,244.694376462393,363.783007127581,114.139071124024,247.336643574406,292.170593830557,152.697408296291,223.382872991544,425.445390650483,271.083322371589,196.001848686435,173.010480101696,309.652467760629,496.803102921997,207.320011847805,205.709801038653,427.323842098398,122.503628467296,182.318927612384,506.830201081332,198.713111782095,411.484854671234,378.871850244995,184.125020084643,164.838533248249
Montipora_capitata_HIv3___TS.g29264.t2,438.736394846059,5297.10398077629,1912.0808731761,518.477551559347,4459.02304122141,1656.6638457675,249.085146162742,5368.24869279234,1486.3624348139,360.956259775402,3829.42259221782,1516.86884435331,160.38324620272,7846.44059049385,2306.33362369802,274.928460097299,10677.7176939172,2647.8703784552,593.551939408335,7055.7491376463,1886.62415025423,10191.6636855306,1887.27576565275,440.239799497128,4679.42520837025,1686.76933824733,471.808434323239,6144.50530080658,2058.36736567567,291.747727413075,1792.9251283849,444.373825178121,4191.57999116886,1836.3061663617,363.374488844125,6266.16839738847,7391.42545128974,1549.23065343061,378.846485683589,5187.8048778629,1570.77794565407,278.925526910239,5875.28252295169,1153.82933125717,279.635468033181,1491.33582641752,3428.70801519716,1651.54869113295,323.371247977872,226.962131840853,9057.03894895903,1880.02394869701,463.705902958169,5327.86967198445,1547.8117292093,520.13600588299,7623.7313161641,759.270096608664,467.225364729005,1812.70368610462,3175.76203073072
Montipora_capitata_HIv3___RNAseq.g8767.t1,2211.05130364502,28.9366220029553,44.0666819889341,1892.99463505498,0,21.7534850490603,3137.96579809602,9.10798895960696,39.0332777796065,1906.99900076031,968.449748952155,91.9141452543785,3147.64420001534,7.13096691047608,142.931249307733,2148.16983228567,16.8190872766472,60.0857641320417,2568.2826284068,34.6861899433657,202.985644484735,56.1425449156043,202.785728280421,1326.76849497302,25.7380642681444,58.8243088548439,1728.38025005319,0,37.7461046378294,2457.15036947047,43.6009795406791,1759.31394083757,28.867630793174,64.6692589300189,3283.47570903085,30.2447794520725,33.1454056111648,36.0286198472235,1731.54686001306,40.5009607214279,108.828123172739,2023.37875247455,0,194.98674506889,3709.16474384013,114.021118880529,247.650984488941,32.7317124516722,2105.83276334681,3101.32294160384,39.2959499580808,14.6100710964952,2309.93011858763,24.9159922306366,33.5517470953346,2241.42329977019,26.0382698197228,886.66932207627,2026.63993675188,81.3575670141444,41.9242512307686
Montipora_capitata_HIv3___RNAseq.g8958.t1,428.443458896591,0,17.2135476519274,441.992919839954,6.11662968617477,50.984730583735,409.437670282776,45.5399447980348,16.7285476198313,402.482201165492,168.369295976857,34.8246140404788,865.872740235541,8.31946139555543,26.9563321062829,655.701048900338,62.4708955989755,31.4084676144763,493.11630589522,109.839601487325,79.0853160330138,22.6959224126911,42.2988635676951,366.306398054862,0,92.8431862648741,508.46693137857,13.6787740445383,11.2435205304173,635.126715754265,37.6553914214956,380.739065615911,27.712925561447,36.0944701004757,590.930316284217,38.4933556662741,64.3410814804963,43.5345823153951,503.873357698451,0,54.0335436731779,374.757481686662,28.5415716441666,82.3487709756963,579.244898068733,30.2042699021269,157.596081038417,41.1484385106737,617.345109775937,754.076138363746,46.0711137439568,23.3761137543924,418.72444589518,41.5266537177276,18.3585031276359,274.583426361485,42.4834928637582,132.524481664579,450.752675587918,55.6657037465199,14.2923583741257
