"gene","taxa","rho","pvalue"
"Montipora_capitata_HIv3___RNAseq.g28322.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",-0.740243257535695,9.27516185814751e-12
"Montipora_capitata_HIv3___RNAseq.g34187.t2","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",-0.737599153886832,1.19966493427699e-11
"Montipora_capitata_HIv3___RNAseq.g34110.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",-0.726864093072448,3.30647170087143e-11
"Montipora_capitata_HIv3___RNAseq.g33790.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",-0.726493918561608,3.4211976545352e-11
"Montipora_capitata_HIv3___RNAseq.g36979.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",-0.720306716023268,6.00169165732347e-11
"Montipora_capitata_HIv3___RNAseq.g41524.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.719196192490746,6.6282551398692e-11
"Montipora_capitata_HIv3___RNAseq.g27062.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",-0.715124272871496,9.50135157310203e-11
"Montipora_capitata_HIv3___RNAseq.g38474.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",-0.714489687995769,1.00441722959396e-10
"Montipora_capitata_HIv3___RNAseq.g43906.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",0.712691697514543,1.1747034252506e-10
"Montipora_capitata_HIv3___RNAseq.g15754.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.711722788570774,1.27751678986489e-10
"Montipora_capitata_HIv3___RNAseq.g22595.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",-0.711475409836065,1.30510714151449e-10
