"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leeuwenhoekiella;__"	"stage"	".L"	"stage.L"	8.73736328162598	0	0.35435602941679	3.09449020999794e-134	1.7957326688618e-130	6.18898041999576e-134	2.67859072577417e-130	NA	"prevalence"	63	55
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leeuwenhoekiella;__"	"leachate"	".L"	"leachate.L"	4.28114784204724	0	0.229929952239495	2.2388659311991e-77	6.49606949937419e-74	4.47773186239817e-77	9.68981175022963e-74	NA	"prevalence"	63	55
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leeuwenhoekiella;__"	"leachate"	".Q"	"leachate.Q"	2.28760838479821	0	0.228757428384384	1.52167824056238e-23	2.94343294332783e-20	3.04335648112476e-23	4.39054895010265e-20	NA	"prevalence"	63	55
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;__"	"stage"	".L"	"stage.L"	2.20930208179263	-0.701997360119588	0.180339384159867	2.90805004299805e-20	4.21885359987942e-17	2.90805004299805e-20	3.14651014652389e-17	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Amphritea;__"	"stage"	".L"	"stage.L"	1.63297544274852	-0.701997360119588	0.145661405558213	9.73350366755647e-19	1.1296704356566e-15	9.73350366755647e-19	8.42532077463688e-16	NA	"abundance"	63	63
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leeuwenhoekiella;__"	"reads"	"reads"	"reads"	-2.33115572345441	0	0.266950076397633	2.48987242630075e-18	2.40812161497054e-15	4.97974485260151e-18	3.59205595367656e-15	NA	"prevalence"	63	55
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Psychrobium;s__uncultured_bacterium"	"stage"	".L"	"stage.L"	3.15031863307356	-0.701997360119588	0.294672659239635	4.26393597510073e-17	3.53480292335851e-14	4.26393597510073e-17	2.63633070003371e-14	NA	"abundance"	63	60
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Litoribrevibacter;s__Litoribrevibacter_euphylliae"	"stage"	".L"	"stage.L"	2.0196800135929	-0.701997360119588	0.204703593460537	6.84761458441181e-17	4.96708842916772e-14	6.84761458441181e-17	3.70455949016679e-14	NA	"abundance"	63	63
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leeuwenhoekiella;__"	"leachate"	".C"	"leachate.C"	2.3015476882845	0	0.279804700444999	1.94296413691609e-16	1.25278009850268e-13	3.8859282738322e-16	1.86869972990508e-13	NA	"prevalence"	63	55
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Nautella;__"	"stage"	".L"	"stage.L"	1.44848393897415	-0.701997360119588	0.16013715218098	4.77150122105384e-16	2.76890215857754e-13	4.77150122105384e-16	2.0651057284721e-13	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_Colwelliaceae"	"stage"	".L"	"stage.L"	1.91807085052156	-0.701997360119588	0.208277673113274	8.36409840143312e-16	4.41244209304695e-13	8.36409840143312e-16	3.29089253467296e-13	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Algicola;__"	"stage"	".L"	"stage.L"	1.30533254865521	-0.701997360119588	0.156279774559838	2.49223049983199e-15	1.20520113254375e-12	2.49223049983199e-15	8.98864466939403e-13	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_marine"	"stage"	".L"	"stage.L"	2.41117611342693	-0.701997360119588	0.273364731428133	8.52405468323094e-15	3.80500687129147e-12	8.52405468323094e-15	2.83785451300181e-12	NA	"abundance"	63	61
