"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;__"	"leachate"	".C:stage.L"	"leachate.C:stage.L"	-4.38780697919883	0	0.0573893630652247	0	0	0	0	NA	"prevalence"	63	13
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;__"	"leachate"	".L"	"leachate.L"	-3.23535981686033	0	0.0554730806312865	0	0	0	0	NA	"prevalence"	63	13
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;__"	"leachate"	".L:stage.L"	"leachate.L:stage.L"	-12.9297127619831	0	0.0555728235164152	0	0	0	0	NA	"prevalence"	63	13
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;__"	"leachate"	".L:stage.Q"	"leachate.L:stage.Q"	5.48212598205067	0	0.0573659700028677	0	0	0	0	NA	"prevalence"	63	13
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;__"	"leachate"	".Q"	"leachate.Q"	-2.21915785250726	0	0.0554287832760593	0	0	0	0	NA	"prevalence"	63	13
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;__"	"leachate"	".Q:stage.L"	"leachate.Q:stage.L"	7.86724756879399	0	0.0555691112353302	0	0	0	0	NA	"prevalence"	63	13
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;__"	"leachate"	".Q:stage.Q"	"leachate.Q:stage.Q"	3.46948521309221	0	0.0555388621851619	0	0	0	0	NA	"prevalence"	63	13
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;__"	"stage"	".L"	"stage.L"	-4.69517909199591	0	0.0572543747618348	0	0	0	0	NA	"prevalence"	63	13
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;__"	"stage"	".Q"	"stage.Q"	-2.45749221556752	0	0.0553342385232478	0	0	0	0	NA	"prevalence"	63	13
"d__Eukaryota;__;__;__;__;__;__"	"leachate"	".L:stage.Q"	"leachate.L:stage.Q"	-10.3973659704787	0	0.303948702206898	1.86186322455696e-256	2.00559906549276e-253	3.72372644911363e-256	3.23331167576536e-253	NA	"prevalence"	63	56
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;__"	"leachate"	".C:stage.Q"	"leachate.C:stage.Q"	1.58763110958042	0	0.0573675769010596	1.40757766926393e-168	1.37840242302828e-165	1.40757766926393e-168	1.11109062747443e-165	NA	"prevalence"	63	13
"d__Eukaryota;__;__;__;__;__;__"	"leachate"	".C:stage.Q"	"leachate.C:stage.Q"	6.8011626508628	0	0.282463405265026	4.24733980781881e-128	3.81269536748536e-125	8.49467961563769e-128	6.14660859188184e-125	NA	"prevalence"	63	56
