feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Pseudoalteromonadaceae.g__Algicola.s__uncultured_bacterium	hpf	hpf	1.65632003630402	0.0939205724059471	63	63	2.56968748448077e-23	2.38980936056712e-20
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Vibrio.s__Vibrio_mediterranei	hpf	hpf	-1.14675199229992	0.082117755838275	63	63	4.93298115413102e-19	2.29383623667093e-16
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassotalea.s__uncultured_marine	hpf	hpf	1.55734568798732	0.121350738725061	63	61	6.72531568718811e-18	2.08484786302831e-15
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Nitrincolaceae.g__Amphritea.__	hpf	hpf	0.968309774236729	0.0828175608051072	63	63	9.08518873512085e-17	2.1123063809156e-14
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.__.__	hpf	hpf	0.869668244983349	0.0732884488459593	63	63	2.67002987737876e-16	4.96625557192449e-14
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.__	hpf	hpf	-1.61841430939685	0.137553954175163	63	62	3.3868114949019e-16	5.24955781709794e-14
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassotalea.__	hpf	hpf	1.19127914937652	0.111811113170797	63	63	1.83618905191778e-15	2.43950831183362e-13
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Nitrincolaceae.g__Nitrincolaceae.s__uncultured_gamma	hpf	hpf	1.14697082031498	0.108053140621767	63	63	6.73685304201405e-15	7.83159166134133e-13
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassotalea.s__Thalassotalea_montiporae	hpf	hpf	1.92269764538998	0.17755418803879	63	38	1.02413833212006e-14	1.05827627652406e-12
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Aquibacter.__	hpf	hpf	1.50117031311015	0.14269083908948	63	47	2.35329044837413e-14	2.18856011698794e-12
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Shewanellaceae.g__Psychrobium.s__uncultured_bacterium	hpf	hpf	1.90311613259041	0.196411720848907	63	60	6.9605138075727e-14	5.88479803731146e-12
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__SAR11_clade.f__Clade_II.g__Clade_II.s__unidentified_marine	hpf	hpf	-1.17628474001152	0.122712130267773	63	61	2.56558117018197e-13	1.98832540689103e-11
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Shimia.__	hpf	hpf	1.23687249939438	0.129423725519976	63	62	4.5659351719819e-13	3.03308550710226e-11
d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia.o__Actinomarinales.f__Actinomarinaceae.g__Candidatus_Actinomarina.__	hpf	hpf	-1.66027531417164	0.17827706375777	63	60	4.53847688921731e-13	3.03308550710226e-11
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Nautella.__	hpf	hpf	0.843368656455807	0.0905918142066836	63	63	6.84624474642196e-13	4.24467174278161e-11
d__Bacteria.__.__.__.__.__.__	hpf	hpf	-0.989221870474451	0.108903910481638	63	63	1.14659994107319e-12	6.6646121574879e-11
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Kordia.__	hpf	hpf	1.37781525363919	0.149025496949439	63	49	1.29571425849882e-12	7.08831917884647e-11
