"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;__"	"hpf"	"hpf"	"hpf"	1.2659828994336	-0.294878572759941	0.115629817791309	3.16469946547296e-16	2.55106423911776e-12	3.16469946547296e-16	1.91907375586280e-12	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Amphritea;__"	"hpf"	"hpf"	"hpf"	0.94535430092256	-0.294878572759941	0.0847410499649413	1.3301212064793e-15	5.36105352271482e-12	1.3301212064793e-15	4.03292749804524e-12	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Litoribrevibacter;s__Litoribrevibacter_euphylliae"	"hpf"	"hpf"	"hpf"	1.15770723776284	-0.294878572759941	0.121565143786372	2.94399613064819e-14	7.91051760305169e-11	2.94399613064819e-14	5.95079751208354e-11	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Psychrobium;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	1.72807866818649	-0.294878572759941	0.184939505446061	9.06454844334183e-14	1.82673312504446e-10	9.06454844334183e-14	1.37418554401062e-10	NA	"abundance"	63	60
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_marine"	"hpf"	"hpf"	"hpf"	1.38303547023761	-0.294878572759941	0.157643367532363	4.01768089000352e-13	6.47730513086368e-10	4.01768089000352e-13	4.87264338339627e-10	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Nautella;__"	"hpf"	"hpf"	"hpf"	0.82171014905785	-0.294878572759941	0.0968752325377441	8.852588256078e-13	1.16725606322295e-09	8.852588256078e-13	8.78084700084847e-10	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_Colwelliaceae"	"hpf"	"hpf"	"hpf"	1.08070162385611	-0.294878572759941	0.128414489114694	1.01362020128528e-12	1.16725606322295e-09	1.01362020128528e-12	8.78084700084847e-10	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Algicola;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	1.41579375852758	-0.294878572759941	0.178302500504232	4.57940362128458e-12	4.61432157389688e-09	4.57940362128458e-12	3.47118794493371e-09	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Nitrincolaceae;s__uncultured_gamma"	"hpf"	"hpf"	"hpf"	1.0339812397537	-0.294878572759941	0.138967772298249	1.74163319641701e-11	1.55992279959083e-08	1.74163319641701e-11	1.17347374478586e-08	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Thalassolituus;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	0.99093631589479	-0.294878572759941	0.135011103581202	2.19724519675515e-11	1.77119935310433e-08	2.19724519675515e-11	1.33240948731232e-08	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Marine_Methylotrophic_Group_3;s__uncultured_bacterium"	"leachate"	".L"	"leachate.L"	3.44142342910717	-0.0795705764725886	0.355540627333984	6.33534655405279e-11	4.64265714292905e-08	6.33534655405279e-11	3.49250377307056e-08	NA	"abundance"	63	44
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas_phenolica"	"hpf"	"hpf"	"hpf"	0.997291650397353	-0.294878572759941	0.160116888331848	1.116278070253e-09	7.49859793692455e-07	1.116278070253e-09	5.64092518167851e-07	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Algicola;__"	"hpf"	"hpf"	"hpf"	0.70015501244483	-0.294878572759941	0.120193004156939	2.60549029252882e-09	1.61560440369806e-06	2.60549029252882e-09	1.2153610102996e-06	NA	"abundance"	63	63
