"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;__"	"stage"	".L"	"stage.L"	8.1563129702272	0	0.144500231721082	0	0	0	0	NA	"prevalence"	63	59
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;__"	"stage"	".Q"	"stage.Q"	4.66063107278423	0	0.205554572148476	8.19183538855558e-114	8.20412314163841e-111	1.63836707771111e-113	1.19518878319026e-110	NA	"prevalence"	63	59
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Amphritea;__"	"stage"	".L"	"stage.L"	1.63530526570418	-0.699668398521839	0.131174788840409	5.71695433542936e-21	3.81701984462167e-18	5.71695433542936e-21	2.78034545846381e-18	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;__"	"stage"	".L"	"stage.L"	2.05543649135759	-0.699668398521839	0.169498802572645	1.02616771926907e-20	5.13853485423988e-18	1.02616771926907e-20	3.74294675603394e-18	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Nautella;__"	"stage"	".L"	"stage.L"	1.47131197450689	-0.699668398521839	0.144380813094318	3.82696367653947e-18	1.53308164882171e-15	3.82696367653947e-18	1.11670800081422e-15	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Litoribrevibacter;s__Litoribrevibacter_euphylliae"	"stage"	".L"	"stage.L"	1.92660702394339	-0.699668398521839	0.186501865757873	5.02447930346855e-18	1.67733867414125e-15	5.02447930346855e-18	1.2217858839601e-15	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Psychrobium;s__uncultured_bacterium"	"stage"	".L"	"stage.L"	2.91096282088575	-0.699668398521839	0.272183327791733	2.10934556925708e-17	6.03574167888847e-15	2.10934556925708e-17	4.3964788364944e-15	NA	"abundance"	63	60
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_marine"	"stage"	".L"	"stage.L"	2.33363711214228	-0.699668398521839	0.240891987288177	1.57212699483873e-16	3.93621296332748e-14	1.57212699483873e-16	2.86716660683714e-14	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Algicola;s__uncultured_bacterium"	"stage"	".L"	"stage.L"	2.59184540593271	-0.699668398521839	0.269374107698473	2.07593963023254e-16	4.62011897706197e-14	2.07593963023254e-16	3.36532880056586e-14	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_Colwelliaceae"	"stage"	".L"	"stage.L"	1.74374391535017	-0.699668398521839	0.194343865731649	5.82989558761418e-16	1.16772808619912e-13	5.82989558761418e-16	8.50581766232909e-14	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Nitrincolaceae;s__uncultured_gamma"	"stage"	".L"	"stage.L"	1.89812003729553	-0.699668398521839	0.214073417779334	6.52582158222796e-16	1.18829278447296e-13	6.52582158222796e-16	8.65561244406418e-14	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Algicola;__"	"stage"	".L"	"stage.L"	1.17578598093508	-0.699668398521839	0.14650036363864	1.56541112945397e-15	2.61293207691359e-13	1.56541112945397e-15	1.90327903156112e-13	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Thalassolituus;s__uncultured_bacterium"	"stage"	".L"	"stage.L"	1.65529992167659	-0.699668398521839	0.207968371208984	1.18672569315149e-14	1.82847043337111e-12	1.18672569315149e-14	1.3318713740831e-12	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Amphritea;s__uncultured_bacterium"	"stage"	".L"	"stage.L"	1.25462684240279	-0.699668398521839	0.183560312382566	2.45729766246222e-13	3.51569086993702e-11	2.45729766246222e-13	2.56085520680884e-11	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium"	"stage"	".L"	"stage.L"	1.31347843083706	-0.699668398521839	0.207824528063484	4.29823127667371e-12	5.73957149811829e-10	4.29823127667371e-12	4.18074628844463e-10	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__"	"stage"	".L"	"stage.L"	1.38963076126181	-0.699668398521839	0.221546159293403	5.01444187660937e-12	6.27745442428035e-10	5.01444187660937e-12	4.57254418623317e-10	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Aestuariibacter;s__Aestuariibacter_aggregatus"	"stage"	".L"	"stage.L"	0.571832151151731	-0.699668398521839	0.1152005337595	5.58509429470091e-12	6.58055521899171e-10	5.58509429470091e-12	4.79332504468742e-10	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Shimia;__"	"stage"	".L"	"stage.L"	1.83749991753036	-0.699668398521839	0.286426999352741	1.84374294556195e-11	2.05167617775588e-09	3.6874858910899e-11	2.83160100794745e-09	NA	"abundance"	63	62
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas_phenolica"	"stage"	".L"	"stage.L"	1.47273365285781	-0.699668398521839	0.245646071290852	2.73038158102841e-11	2.8783970035789e-09	2.73038158102841e-11	2.21312595928914e-09	NA	"abundance"	63	63
