"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leeuwenhoekiella;__"	"hpf"	"hpf"	"hpf"	4.2416819050999	0	0.442020964345516	8.30184334443433e-22	1.66451959055908e-18	1.66036866888687e-21	2.43742120592593e-18	NA	"prevalence"	63	55
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;__"	"hpf"	"hpf"	"hpf"	1.24849794871899	-0.342069035899426	0.113722179385735	5.50694734366673e-18	4.69531251525035e-15	5.50694734366673e-18	3.43776497375936e-15	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Amphritea;__"	"hpf"	"hpf"	"hpf"	0.941702808828782	-0.342069035899426	0.0841698306273532	7.02540525972621e-18	4.69531251525035e-15	7.02540525972621e-18	3.43776497375936e-15	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Litoribrevibacter;s__Litoribrevibacter_euphylliae"	"hpf"	"hpf"	"hpf"	1.15796211961793	-0.342069035899426	0.119369834020014	4.30426525333928e-16	2.15751295823632e-13	4.30426525333928e-16	1.57966534797552e-13	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Psychrobium;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	1.75035790614236	-0.342069035899426	0.179486066881011	2.40098572458046e-15	9.62795275556764e-13	2.40098572458046e-15	7.04929408736823e-13	NA	"abundance"	63	60
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Nautella;__"	"hpf"	"hpf"	"hpf"	0.82483883186547	-0.342069035899426	0.0947233875100974	6.45776637700211e-15	2.15797026431487e-12	6.45776637700211e-15	1.58000017357318e-12	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_Colwelliaceae"	"hpf"	"hpf"	"hpf"	1.07585931362752	-0.342069035899426	0.124739241381241	2.49830501062483e-14	6.26137693287848e-12	4.99661002124959e-14	9.168779388993e-12	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_marine"	"hpf"	"hpf"	"hpf"	1.38458542026472	-0.342069035899426	0.156135276731626	2.28278100807747e-14	6.26137693287848e-12	2.28278100807747e-14	4.78731788551104e-12	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Algicola;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	1.43041097626642	-0.342069035899426	0.174962151710775	2.11188580540678e-13	4.70481226648956e-11	2.11188580540678e-13	3.44472040259684e-11	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Nitrincolaceae;s__uncultured_gamma"	"hpf"	"hpf"	"hpf"	1.04138620857064	-0.342069035899426	0.134705568007389	3.34807560689264e-13	6.71289159181974e-11	3.34807560689264e-13	4.9149749909184e-11	NA	"abundance"	63	63
