"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;__"	"hpf"	"hpf"	"hpf"	1.24849794871899	-0.341042180792785	0.113722179385735	5.27107960406255e-18	1.31355303733239e-14	5.27107960406255e-18	9.61181365800806e-15	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Amphritea;__"	"hpf"	"hpf"	"hpf"	0.941702808827474	-0.341042180792785	0.0841698306279193	4.61712533675096e-18	1.31355303733239e-14	4.61712533675096e-18	9.61181365800806e-15	NA	"abundance"	63	63
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leeuwenhoekiella;__"	"leachate"	".L"	"leachate.L"	4.47533588628134	0	0.521814973779169	9.78203461792813e-18	1.62512201785846e-14	1.95640692358563e-17	2.37833868343893e-14	NA	"prevalence"	63	55
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Litoribrevibacter;s__Litoribrevibacter_euphylliae"	"hpf"	"hpf"	"hpf"	1.15796211961233	-0.341042180792785	0.119369834022697	5.0513459218534e-16	6.29397701862934e-13	5.0513459218534e-16	4.60556464424984e-13	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Psychrobium;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	1.75035790614237	-0.341042180792785	0.179486066881077	2.18241325303122e-15	2.17542953062152e-12	2.18241325303122e-15	1.59185222676098e-12	NA	"abundance"	63	60
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Nautella;__"	"hpf"	"hpf"	"hpf"	0.824838831865327	-0.341042180792785	0.0947233875100121	7.23392226379698e-15	6.00897809379403e-12	7.23392226379698e-15	4.39701908267793e-12	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_marine"	"hpf"	"hpf"	"hpf"	1.38458542026473	-0.341042180792785	0.156135276731645	2.11424594714072e-14	1.50534311436419e-11	2.11424594714072e-14	1.10152213846031e-11	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_Colwelliaceae"	"hpf"	"hpf"	"hpf"	1.07585931362938	-0.341042180792785	0.124739241380067	2.61525566830609e-14	1.6293042813547e-11	2.61525566830609e-14	1.19222967778904e-11	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Algicola;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	1.43041097626626	-0.341042180792785	0.174962151710692	1.89897936801024e-13	1.05161257446256e-10	1.89897936801024e-13	7.69508639459261e-11	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Nitrincolaceae;s__uncultured_gamma"	"hpf"	"hpf"	"hpf"	1.04138620857068	-0.341042180792785	0.134705568007406	3.19734060528171e-13	1.5935545576724e-10	3.19734060528171e-13	1.16607011874624e-10	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Thalassolituus;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	0.97588562201015	-0.341042180792785	0.13242752622496	1.18447423945882e-12	5.3667450995116e-10	1.18447423945882e-12	3.92707050118756e-10	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Algicola;__"	"hpf"	"hpf"	"hpf"	0.698200013296976	-0.341042180792785	0.117173387736148	6.82564605738821e-11	2.74463666482995e-08	6.82564605738821e-11	2.00836475052866e-08	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas_phenolica"	"hpf"	"hpf"	"hpf"	0.998192425651475	-0.341042180792785	0.156565850305567	7.15896401340076e-11	2.74463666482995e-08	7.15896401340076e-11	2.00836475052866e-08	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Amphritea;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	0.695356761070308	-0.341042180792785	0.118639127530332	1.31306710708453e-10	4.67451890122091e-08	1.31306710708453e-10	3.42053981395519e-08	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Marine_Methylotrophic_Group_3;s__uncultured_bacterium"	"leachate"	".L"	"leachate.L"	3.65159222310287	-0.0887520301345578	0.436631819087175	3.04557849053578e-10	1.01194421312202e-07	3.04557849053578e-10	7.40481650332266e-08	NA	"abundance"	63	44
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;__;__"	"hpf"	"hpf"	"hpf"	1.24614282579693	-0.341042180792785	0.205080839127564	6.84184888681027e-10	2.1312359282414e-07	6.84184888681027e-10	1.55951393063732e-07	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	0.624130896064346	-0.341042180792785	0.125630685577452	4.10129472707164e-09	1.202403112925e-06	4.10129472707164e-09	8.79848345272369e-07	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__"	"hpf"	"hpf"	"hpf"	0.65487876561468	-0.341042180792785	0.132958888788215	5.48733648550157e-09	1.4394150023021e-06	5.48733648550157e-09	1.05327979803285e-06	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Aestuariibacter;s__Aestuariibacter_aggregatus"	"hpf"	"hpf"	"hpf"	0.328147898570123	-0.341042180792785	0.0791273611781622	5.44799415173082e-09	1.4394150023021e-06	5.44799415173082e-09	1.05327979803285e-06	NA	"abundance"	63	63
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter;__"	"hpf"	"hpf"	"hpf"	1.12452723086167	-0.341042180792785	0.190121241647322	6.19568074972519e-09	1.54396364283152e-06	1.23913614610639e-08	2.15196644040476e-06	NA	"abundance"	63	47
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Shimia;__"	"hpf"	"hpf"	"hpf"	0.902123007039207	-0.341042180792785	0.17644625438026	1.11902008999431e-08	2.65580768025317e-06	1.11902008999431e-08	2.04053313410463e-06	NA	"abundance"	63	62
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Candidatus_Actinomarina;__"	"hpf"	"hpf"	"hpf"	-1.56423495033005	-0.341042180792785	0.174856718727182	1.68581810214442e-08	3.81914428231263e-06	1.68581810214442e-08	2.79462664478214e-06	NA	"abundance"	63	60
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonadaceae;s__uncultured_gamma"	"hpf"	"hpf"	"hpf"	0.962862487674789	-0.341042180792785	0.182171886186467	2.03417417450993e-08	4.40796699380761e-06	4.06834830764121e-08	6.18219428248646e-06	NA	"abundance"	63	52
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae;g__Spongiibacter;__"	"hpf"	"hpf"	"hpf"	0.975306730462443	-0.341042180792785	0.183484452239112	2.2342502044186e-08	4.63979292450929e-06	4.46850035891845e-08	6.51864832359023e-06	NA	"abundance"	63	50
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__Thalassotalea_montiporae"	"hpf"	"hpf"	"hpf"	1.99344849812099	-0.341042180792785	0.313349521192288	2.44841799228308e-08	4.69342895136111e-06	4.89683592461864e-08	6.86875408349392e-06	NA	"abundance"	63	38
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Marine_Methylotrophic_Group_3;s__uncultured_bacterium"	"leachate"	".Q"	"leachate.Q"	-3.08812597731306	-0.189315208502858	0.409314547054594	2.36514426924483e-08	4.69342895136111e-06	2.36514426924483e-08	3.75029615214604e-06	NA	"abundance"	63	44
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;s__Tenacibaculum_litopenaei"	"hpf"	"hpf"	"hpf"	0.905850340917142	-0.341042180792785	0.185384786997807	5.67047600877106e-08	1.04672786769315e-05	1.13409516959991e-07	1.53186854945588e-05	NA	"abundance"	63	55
