"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Shimia;__"	"spawn_night"	".L"	"spawn_night.L"	3.86291154141483	-0.594182633244883	0.339007538646286	3.33066907387547e-16	3.23641113908479e-12	3.33066907387547e-16	2.52464715799761e-12	NA	"abundance"	63	62
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;__"	"hpf"	"hpf"	"hpf"	1.27392475642558	-0.312891381707895	0.117932442748009	1.66533453693773e-15	8.09102784771198e-12	1.66533453693773e-15	6.31161789499401e-12	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Amphritea;__"	"hpf"	"hpf"	"hpf"	0.948785411428401	-0.312891381707895	0.0847923631293014	4.88498130835069e-15	1.58224544577479e-11	4.88498130835069e-15	1.23427194390994e-11	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__"	"spawn_night"	".L"	"spawn_night.L"	2.57349352751445	-0.594182633244883	0.253883143425036	1.82076576038526e-14	4.42309522341588e-11	1.82076576038526e-14	3.45035111593006e-11	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Litoribrevibacter;s__Litoribrevibacter_euphylliae"	"hpf"	"hpf"	"hpf"	1.16224734214519	-0.312891381707895	0.121586329084326	5.47339951140202e-14	1.06370046104587e-10	5.47339951140202e-14	8.29767365928546e-11	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Psychrobium;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	1.72522925463724	-0.312891381707895	0.185011937712862	1.33892896769794e-13	2.16839546318681e-10	1.33892896769794e-13	1.6915135958584e-10	NA	"abundance"	63	60
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;__"	"spawn_night"	".L"	"spawn_night.L"	2.88517864478942	-0.594182633244883	0.317566216226161	2.36810571152546e-13	3.28726902841327e-10	2.36810571152546e-13	2.56432018476614e-10	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_marine"	"hpf"	"hpf"	"hpf"	1.38244681931176	-0.312891381707895	0.157645239681911	5.46229728115577e-13	6.63464283512383e-10	5.46229728115577e-13	5.17552667389509e-10	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thalassobius;__"	"spawn_night"	".L"	"spawn_night.L"	2.61892837571289	-0.594182633244883	0.29608140855093	6.67021993194794e-13	7.20161411985979e-10	6.67021993194794e-13	5.61780745379615e-10	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Aestuariicella;s__uncultured_bacterium"	"spawn_night"	".L"	"spawn_night.L"	2.81045878915021	-0.594182633244883	0.318835157954798	7.53064277603244e-13	7.31752558547072e-10	7.53064277603244e-13	5.70822722423259e-10	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Oleispira;s__uncultured_bacterium"	"spawn_night"	".L"	"spawn_night.L"	3.49797998421384	-0.594182633244883	0.412937518030632	1.44195766438315e-12	1.27377296589192e-09	1.44195766438315e-12	9.93639917820391e-10	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_Colwelliaceae"	"hpf"	"hpf"	"hpf"	1.08382542861635	-0.312891381707895	0.128502318150255	2.01128003141093e-12	1.628634005435e-09	2.01128003141093e-12	1.27045855317457e-09	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Nautella;__"	"hpf"	"hpf"	"hpf"	0.818764365744596	-0.312891381707895	0.0968944100489658	2.55884202715606e-12	1.77601914127682e-09	2.55884202715606e-12	1.3854301832745e-09	NA	"abundance"	63	63
