"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Shimia;__"	"spawn_night"	".L"	"spawn_night.L"	3.89857528856701	-0.636059683341345	0.347944065218299	1.77635683940025e-15	2.34265939980105e-11	1.77635683940025e-15	1.88506987797155e-11	NA	"abundance"	63	62
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;__"	"stage"	".L"	"stage.L"	2.26649816569285	-0.547939517795318	0.189510318927845	3.77475828372553e-15	2.48907561228862e-11	3.77475828372553e-15	2.00288674534477e-11	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__"	"spawn_night"	".L"	"spawn_night.L"	2.59041648139153	-0.636059683341345	0.262026258157318	7.93809462606987e-14	3.48958639762031e-10	7.93809462606987e-14	2.80796867239512e-10	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Psychrobium;s__uncultured_bacterium"	"stage"	".L"	"stage.L"	3.10154057179829	-0.547939517795318	0.317768486971845	2.5068835896036e-13	6.61215615593846e-10	2.5068835896036e-13	5.32060973057469e-10	NA	"abundance"	63	60
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Litoribrevibacter;s__Litoribrevibacter_euphylliae"	"stage"	".L"	"stage.L"	2.05636549723192	-0.547939517795318	0.204711424716451	2.47246667584022e-13	6.61215615593846e-10	2.47246667584022e-13	5.32060973057469e-10	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Amphritea;__"	"stage"	".L"	"stage.L"	1.62800833687849	-0.547939517795318	0.150325628116549	4.09894340691608e-13	9.00947760840154e-10	4.09894340691608e-13	7.24966457236557e-10	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;__"	"spawn_night"	".L"	"spawn_night.L"	2.88590733690372	-0.636059683341345	0.321911892123426	7.98028310100563e-13	1.50348533622946e-09	7.98028310100563e-13	1.20981091811245e-09	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thalassobius;__"	"spawn_night"	".L"	"spawn_night.L"	2.68235616132232	-0.636059683341345	0.303986380228812	2.02504679691629e-12	3.3382896447165e-09	2.02504679691629e-12	2.68622457610945e-09	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Aestuariicella;s__uncultured_bacterium"	"spawn_night"	".L"	"spawn_night.L"	2.77282005145021	-0.636059683341345	0.326318509131009	4.55013804412374e-12	6.66746894732266e-09	4.55013804412374e-12	5.36511832491568e-09	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;__"	"spawn_night"	".L"	"spawn_night.L"	2.74035212172463	-0.636059683341345	0.324587315986396	8.06021915877864e-12	8.17678232815174e-09	8.06021915877864e-12	6.57961890099684e-09	NA	"abundance"	63	59
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_Colwelliaceae"	"stage"	".L"	"stage.L"	1.92867497887883	-0.547939517795318	0.217659245375295	6.71884770042652e-12	8.17678232815174e-09	6.71884770042652e-12	6.57961890099684e-09	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_marine"	"stage"	".L"	"stage.L"	2.42597440623747	-0.547939517795318	0.281997569032945	7.51421147526798e-12	8.17678232815174e-09	7.51421147526798e-12	6.57961890099684e-09	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Oleispira;s__uncultured_bacterium"	"spawn_night"	".L"	"spawn_night.L"	3.51562032146521	-0.636059683341345	0.428263414459754	6.94955204494363e-12	8.17678232815174e-09	6.94955204494363e-12	6.57961890099684e-09	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Nautella;__"	"stage"	".L"	"stage.L"	1.41168980443137	-0.547939517795318	0.162819593101161	3.49470452576384e-11	3.07254421905157e-08	3.49470452576384e-11	2.47238696182706e-08	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Algicola;s__uncultured_bacterium"	"stage"	".L"	"stage.L"	2.42115497825784	-0.547939517795318	0.307745814506434	3.37374572723093e-11	3.07254421905157e-08	3.37374572723093e-11	2.47238696182706e-08	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Nautella;__"	"spawn_night"	".L"	"spawn_night.L"	1.40708650272647	-0.636059683341345	0.174804321790468	5.96934723873233e-11	4.92023446152512e-08	5.96934723873233e-11	3.95916955608921e-08	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas;__"	"spawn_night"	".L"	"spawn_night.L"	1.99865319754121	-0.636059683341345	0.272796331552709	1.130684434969e-10	8.77145078139479e-08	1.130684434969e-10	7.05813130817118e-08	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Algicola;__"	"stage"	".L"	"stage.L"	1.32101766551721	-0.547939517795318	0.163138541959913	1.27705845898163e-10	9.35658164280539e-08	1.27705845898163e-10	7.52896909261835e-08	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;__"	"spawn_night"	".L"	"spawn_night.L"	1.56308247542805	-0.636059683341345	0.219823080012067	2.90645618683527e-10	2.01738653642019e-07	2.90645618683527e-10	1.62333226603663e-07	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Nitrincolaceae;s__uncultured_gamma"	"stage"	".L"	"stage.L"	1.73736775175597	-0.547939517795318	0.248407555182927	5.59827739721186e-10	3.6915041157215e-07	5.59827739721186e-10	2.97044598696061e-07	NA	"abundance"	63	63
