"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter;__"	"leachate"	".C"	"leachate.C"	-5.93317843589691	0	0.0739087091509908	0	0	0	0	NA	"prevalence"	63	47
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter;__"	"leachate"	".L"	"leachate.L"	3.16779507059945	0	0.0732409912852941	0	0	0	0	NA	"prevalence"	63	47
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter;__"	"leachate"	".Q"	"leachate.Q"	-4.83721829759058	0	0.0656073668874596	0	0	0	0	NA	"prevalence"	63	47
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter;__"	"leachate"	"high:hpf"	"leachatehigh:hpf"	4.14552727426177	0	0.0735735368143414	0	0	0	0	NA	"prevalence"	63	47
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter;__"	"leachate"	"low:hpf"	"leachatelow:hpf"	2.75810098057845	0	0.0608075287609441	0	0	0	0	NA	"prevalence"	63	47
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter;__"	"leachate"	"mid:hpf"	"leachatemid:hpf"	8.93952399917978	0	0.0684331892271213	0	0	0	0	NA	"prevalence"	63	47
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;__"	"leachate"	".L"	"leachate.L"	13.0831817198043	0	0.210881485132893	0	0	0	0	NA	"prevalence"	63	59
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;__"	"leachate"	"mid:hpf"	"leachatemid:hpf"	8.74460276065389	0	0.201587580574213	0	0	0	0	NA	"prevalence"	63	59
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__Thalassotalea_loyana"	"leachate"	".C"	"leachate.C"	7.21866001551907	0	0.16849443811153	0	0	0	0	NA	"prevalence"	63	51
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__Thalassotalea_loyana"	"leachate"	"low:hpf"	"leachatelow:hpf"	-8.66806203576321	0	0.22174505427637	0	0	0	0	NA	"prevalence"	63	51
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Psychrosphaera;s__uncultured_bacterium"	"leachate"	".Q"	"leachate.Q"	-7.98429042334001	0	0.0781163129358812	0	0	0	0	NA	"prevalence"	63	53
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Psychrosphaera;s__uncultured_bacterium"	"leachate"	"low:hpf"	"leachatelow:hpf"	10.3216039258625	0	0.0661250828019396	0	0	0	0	NA	"prevalence"	63	53
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Psychrosphaera;s__uncultured_bacterium"	"leachate"	"mid:hpf"	"leachatemid:hpf"	6.83058855718469	0	0.0753217469941291	0	0	0	0	NA	"prevalence"	63	53
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Psychrosphaera;s__uncultured_bacterium"	"leachate"	".C"	"leachate.C"	2.5052428592486	0	0.0703956942461797	2.14718863173782e-277	1.17389869909438e-274	4.2943772634755e-277	1.79689014353139e-274	NA	"prevalence"	63	53
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Psychrosphaera;s__uncultured_bacterium"	"leachate"	"control:hpf"	"leachatecontrol:hpf"	2.55976889268011	0	0.0756528189417118	5.88334377561464e-251	3.00207421723697e-248	1.17666875512283e-250	4.59528371167302e-248	NA	"prevalence"	63	53
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Psychrosphaera;s__uncultured_bacterium"	"leachate"	"high:hpf"	"leachatehigh:hpf"	2.16725742225431	0	0.0722968869289657	1.94644415867558e-197	9.3113022440643e-195	3.89288831735116e-197	1.4252837351902e-194	NA	"prevalence"	63	53
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__Thalassotalea_loyana"	"leachate"	".Q"	"leachate.Q"	-4.43798134681172	0	0.166761845198294	4.84062764747313e-156	2.17942141257408e-153	9.68125529494624e-156	3.33604667751736e-153	NA	"prevalence"	63	51
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__Thalassotalea_loyana"	"leachate"	".L"	"leachate.L"	-4.72789897593622	0	0.185202003580203	9.556053379139e-144	4.06344625355166e-141	1.91121067582776e-143	6.21992896611058e-141	NA	"prevalence"	63	51
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__"	"leachate"	"mid:hpf"	"leachatemid:hpf"	-9.30896300073812	0	0.496861004661147	2.54014859485763e-78	1.0232788076337e-75	5.08029718971522e-78	1.56633583880799e-75	NA	"prevalence"	63	53
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Psychrosphaera;s__uncultured_bacterium"	"leachate"	".L"	"leachate.L"	-1.32627029974087	0	0.0709593382956277	5.90812463813173e-78	2.26103929901301e-75	1.18162492762634e-77	3.46097941301754e-75	NA	"prevalence"	63	53
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter;__"	"leachate"	"control:hpf"	"leachatecontrol:hpf"	1.33719605630815	0	0.0730574668591473	7.78201850285192e-75	2.83636045813469e-72	1.5564037005704e-74	4.3416251799721e-72	NA	"prevalence"	63	47
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Terasakiellaceae;g__Terasakiella;s__uncultured_bacterium"	"leachate"	"low:hpf"	"leachatelow:hpf"	7.77382166891995	0	0.435720015368896	3.37605164100287e-71	1.17455905728345e-68	6.75210328200579e-71	1.79790095572681e-68	NA	"prevalence"	63	56
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Terasakiellaceae;g__Terasakiella;s__uncultured_bacterium"	"leachate"	".L"	"leachate.L"	-8.79971805099004	0	0.506539457124291	1.33927481818629e-67	4.4568736775643e-65	2.67854963637257e-67	6.8221494651611e-65	NA	"prevalence"	63	56
