"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Marine_Methylotrophic_Group_3;s__uncultured_bacterium"	"leachate"	".L"	"leachate.L"	3.64699055651591	-0.0863463100662012	0.513966593397622	1.04712630341501e-08	4.35604542220645e-05	1.04712630341501e-08	3.11310650005283e-05	NA	"abundance"	63	44
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Marine_Methylotrophic_Group_3;s__uncultured_bacterium"	"leachate"	".Q"	"leachate.Q"	-3.13081963152122	-0.181488682295525	0.481649205084677	4.03108632205069e-07	0.000838465954986544	4.03108632205069e-07	0.000599220981772835	NA	"abundance"	63	44
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__"	"reads"	"reads"	"reads"	-0.658981819182564	0.0788949440548688	0.149837554137678	1.45744676172384e-05	0.0202099284292372	1.45744676172384e-05	0.0144432974086832	NA	"abundance"	63	63
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leeuwenhoekiella;__"	"leachate"	".Q"	"leachate.Q"	1.43001625649537	-0.181488682295525	0.346094311499962	3.11336428186623e-05	0.0259031908251271	3.11336428186623e-05	0.0231400800249708	NA	"abundance"	63	55
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium"	"reads"	"reads"	"reads"	-0.593476478555003	0.0788949440548688	0.139778385391722	2.56861409875452e-05	0.0259031908251271	5.13716221972516e-05	0.0305455665584858	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Shimia;__"	"reads"	"reads"	"reads"	-0.808678398139912	0.0788949440548688	0.198535080778753	5.48930759535208e-05	0.0380591993277744	0.000109783138657254	0.046626467318288	NA	"abundance"	63	62
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae;g__Spongiibacter;__"	"reads"	"reads"	"reads"	-0.803616650137787	0.0788949440548688	0.196031155474289	6.79165125013071e-05	0.0391418506369056	6.79165125013071e-05	0.0336526319443977	NA	"abundance"	63	50
"d__Eukaryota;__;__;__;__;__;__"	"reads"	"reads"	"reads"	0.96041688688513	0.0788949440548688	0.200531337649832	7.52727896863568e-05	0.0391418506369056	0.000150539913379846	0.0559443953097854	NA	"abundance"	63	56
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__Thalassotalea_loyana"	"reads"	"reads"	"reads"	-0.552703907934452	0.0788949440548688	0.146821549032773	0.000156635481874005	0.0724004005106512	0.000313246429073828	0.0931281633636491	NA	"abundance"	63	51
"d__Bacteria;__;__;__;__;__;__"	"reads"	"reads"	"reads"	0.673825709080059	0.0788949440548688	0.148801154575664	0.000308133601805988	0.128183578351291	0.000308133601805988	0.0931281633636491	NA	"abundance"	63	63
"d__Eukaryota;__;__;__;__;__;__"	"reads"	"reads"	"reads"	4.60046148353046	0	1.97574632003778	0.0198872826007901	0.83794911027682	0.000150539913379846	0.0559443953097854	NA	"prevalence"	63	56
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium"	"reads"	"reads"	"reads"	0.0712467979457911	0	0.699544858981779	0.918877832252684	0.999999992286275	5.13716221972516e-05	0.0305455665584858	NA	"prevalence"	63	61
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Shimia;__"	"reads"	"reads"	"reads"	2.41402487883324	0	2.32099511524044	0.298301878156404	0.999999992286275	0.000109783138657254	0.046626467318288	NA	"prevalence"	63	62
