sample_id,feature,norm_abundance,collection_date,parents,group,hpf,stage,leachate,leachate_mgL,spawn_night,reads,% of reads,order,family,genus,species,genus_species,presence,prevalence,abundance
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio_fortis,0.00749423135411563,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Vibrionales,Vibrionaceae,Vibrio,Vibrio_fortis,Vibrio Vibrio_fortis,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Thalassolituus;s__uncultured_bacterium,0.0759530786448099,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Oceanospirillales,Saccharospirillaceae,Thalassolituus,uncultured_bacterium,Thalassolituus uncultured_bacterium,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__uncultured;s__uncultured_Oceanospirillaceae,0.00114189138737072,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Oceanospirillales,Saccharospirillaceae,uncultured,uncultured_Oceanospirillaceae,uncultured uncultured_Oceanospirillaceae,1,no,yes
101112C14,d__Bacteria;__;__;__;__;__;__,0.0413521305289307,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,NA,NA,NA,NA,NA NA,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Aestuariibacter;s__Aestuariibacter_aggregatus,0.0212515639541131,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Alteromonadales,Alteromonadaceae,Aestuariibacter,Aestuariibacter_aggregatus,Aestuariibacter Aestuariibacter_aggregatus,1,no,yes
101112C14,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Kordia;__,6.5198902181613e-4,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Flavobacteriales,Flavobacteriaceae,Kordia,NA,Kordia NA,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__,0.0448269770474368,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Rhodobacterales,Rhodobacteraceae,NA,NA,NA NA,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;__;__,0.0122366319485548,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Alteromonadales,Pseudoalteromonadaceae,NA,NA,NA NA,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__,0.00297948055779664,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,NA,NA,NA,NA,NA NA,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Algicola;__,0.00387733136158255,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Alteromonadales,Pseudoalteromonadaceae,Algicola,NA,Algicola NA,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Amphritea;s__uncultured_bacterium,0.00247136620839245,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Oceanospirillales,Nitrincolaceae,Amphritea,uncultured_bacterium,Amphritea uncultured_bacterium,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Terasakiellaceae;g__Terasakiella;s__uncultured_bacterium,3.1688851898326e-4,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Rhodospirillales,Terasakiellaceae,Terasakiella,uncultured_bacterium,Terasakiella uncultured_bacterium,1,yes,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;__,0.00475514898313388,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Alteromonadales,Colwelliaceae,Thalassotalea,NA,Thalassotalea NA,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Shimia;__,0.020220765668225,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Rhodobacterales,Rhodobacteraceae,Shimia,NA,Shimia NA,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Psychrosphaera;s__uncultured_bacterium,2.18543806195353e-5,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Alteromonadales,Pseudoalteromonadaceae,Psychrosphaera,uncultured_bacterium,Psychrosphaera uncultured_bacterium,1,yes,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Algicola;s__uncultured_bacterium,0.0928902236249497,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Alteromonadales,Pseudoalteromonadaceae,Algicola,uncultured_bacterium,Algicola uncultured_bacterium,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio_mediterranei,3.0596132867349e-4,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Vibrionales,Vibrionaceae,Vibrio,Vibrio_mediterranei,Vibrio Vibrio_mediterranei,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Algicola;s__Algicola_bacteriolytica,0.00127848126624281,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Alteromonadales,Pseudoalteromonadaceae,Algicola,Algicola_bacteriolytica,Algicola Algicola_bacteriolytica,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Amphritea;__,0.0140651151270559,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Oceanospirillales,Nitrincolaceae,Amphritea,NA,Amphritea NA,1,no,yes
101112C14,d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__JGI_0000069-P22;f__JGI_0000069-P22;g__JGI_0000069-P22;__,0.00101258630203847,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22,NA,JGI_0000069-P22 NA,1,yes,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Aestuariicella;s__uncultured_bacterium,0.00283924828215462,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Cellvibrionales,Cellvibrionaceae,Aestuariicella,uncultured_bacterium,Aestuariicella uncultured_bacterium,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__,7.28479353984509e-5,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,SAR11_clade,Clade_II,Clade_II,NA,Clade_II NA,1,yes,yes
101112C14,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leeuwenhoekiella;__,0.00199056983476267,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,NA,Leeuwenhoekiella NA,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__,3.27815709293029e-5,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonas NA,1,yes,yes
101112C14,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;__,0,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Corynebacteriales,Corynebacteriaceae,Corynebacterium,NA,Corynebacterium NA,0,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonadaceae;s__uncultured_gamma,1.5115946595178e-4,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Alteromonadales,Alteromonadaceae,Alteromonadaceae,uncultured_gamma,Alteromonadaceae uncultured_gamma,1,yes,yes
101112C14,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;__,0.00114189138737072,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,NA,Tenacibaculum NA,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Nitrincolaceae;s__uncultured_gamma,0.0173778749893005,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Oceanospirillales,Nitrincolaceae,Nitrincolaceae,uncultured_gamma,Nitrincolaceae uncultured_gamma,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Pontibacterium;s__uncultured_bacterium,4.18875628541093e-5,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Oceanospirillales,Nitrincolaceae,Pontibacterium,uncultured_bacterium,Pontibacterium uncultured_bacterium,1,yes,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__uncultured;__,0.0194303655691518,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Oceanospirillales,Saccharospirillaceae,uncultured,NA,uncultured NA,1,no,yes
101112C14,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Candidatus_Actinomarina;__,2.1854380619535e-4,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,NA,Candidatus_Actinomarina NA,1,yes,yes
101112C14,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Malaciobacter;s__uncultured_bacterium,0.00533429006955157,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Campylobacterales,Arcobacteraceae,Malaciobacter,uncultured_bacterium,Malaciobacter uncultured_bacterium,1,no,yes
101112C14,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter;__,8.1953927323257e-4,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Flavobacteriales,Flavobacteriaceae,Aquibacter,NA,Aquibacter NA,1,yes,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;__,0.00145513750958406,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,NA,Sulfitobacter NA,1,yes,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Psychrobium;s__uncultured_bacterium,0.00226557079089182,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Alteromonadales,Shewanellaceae,Psychrobium,uncultured_bacterium,Psychrobium uncultured_bacterium,1,yes,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Pseudoteredinibacter;s__uncultured_bacterium,9.65235144029474e-5,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Cellvibrionales,Cellvibrionaceae,Pseudoteredinibacter,uncultured_bacterium,Pseudoteredinibacter uncultured_bacterium,1,yes,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Nautella;__,0.0157296904509105,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Rhodobacterales,Rhodobacteraceae,Nautella,NA,Nautella NA,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas_phenolica,7.0298257659505e-4,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas_phenolica,Pseudoalteromonas Pseudoalteromonas_phenolica,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_III;g__Clade_III;__,4.9536596070946e-4,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,SAR11_clade,Clade_III,Clade_III,NA,Clade_III NA,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Litoribrevibacter;s__Litoribrevibacter_euphylliae,0.00944473482440916,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Oceanospirillales,Saccharospirillaceae,Litoribrevibacter,Litoribrevibacter_euphylliae,Litoribrevibacter Litoribrevibacter_euphylliae,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae;g__Spongiibacter;__,2.7135855935923e-4,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Cellvibrionales,Spongiibacteraceae,Spongiibacter,NA,Spongiibacter NA,1,yes,yes
101112C14,d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__JGI_0000069-P22;f__JGI_0000069-P22;g__JGI_0000069-P22;s__uncultured_bacterium,4.8990236555458e-4,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22,uncultured_bacterium,JGI_0000069-P22 uncultured_bacterium,1,yes,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;s__unidentified_marine,2.8410694805395e-4,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,SAR11_clade,Clade_II,Clade_II,unidentified_marine,Clade_II unidentified_marine,1,yes,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tropicibacter;s__Tropicibacter_phthalicicus,1.8758343365101e-4,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Rhodobacterales,Rhodobacteraceae,Tropicibacter,Tropicibacter_phthalicicus,Tropicibacter Tropicibacter_phthalicicus,1,no,yes
101112C14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;__,1.63907854646515e-5,2024-07-08,101112,C14,14,earlygastrula,control,0,July 8th,1315572,0.99%,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,NA,Escherichia-Shigella NA,1,no,yes
