"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter;__"	"hpf"	"hpf"	"hpf"	4.20215981503968	0	0.0999549690410098	0	0	0	0	NA	"prevalence"	63	47
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter;__"	"leachate"	".Q"	"leachate.Q"	-4.60320665170683	0	0.098986609899939	0	0	0	0	NA	"prevalence"	63	47
"d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobiaceae;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	-10.210391164271	0	0.0706815043636865	0	0	0	0	NA	"prevalence"	63	5
"d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobiaceae;s__uncultured_bacterium"	"leachate"	".C"	"leachate.C"	-2.76244529697233	0	0.0711157678401181	0	0	0	0	NA	"prevalence"	63	5
"d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobiaceae;s__uncultured_bacterium"	"leachate"	".L"	"leachate.L"	26.1551745249429	0	0.0711841851886146	0	0	0	0	NA	"prevalence"	63	5
"d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobiaceae;s__uncultured_bacterium"	"leachate"	".L:hpf"	"leachate.L:hpf"	22.2681954505412	0	0.071138843460571	0	0	0	0	NA	"prevalence"	63	5
"d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobiaceae;s__uncultured_bacterium"	"leachate"	".Q"	"leachate.Q"	-10.7449512220867	0	0.0711400615054527	0	0	0	0	NA	"prevalence"	63	5
"d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobiaceae;s__uncultured_bacterium"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	-7.26981332460803	0	0.0711088312368718	0	0	0	0	NA	"prevalence"	63	5
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tropicibacter;s__Tropicibacter_phthalicicus"	"leachate"	".L"	"leachate.L"	7.87382076357924	0	0.197706917801889	0	0	0	0	NA	"prevalence"	63	52
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Psychrosphaera;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	6.01348508058894	0	0.136322356615628	0	0	0	0	NA	"prevalence"	63	53
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Psychrosphaera;s__uncultured_bacterium"	"leachate"	".Q"	"leachate.Q"	-9.3362757218275	0	0.184767220294103	0	0	0	0	NA	"prevalence"	63	53
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter;__"	"leachate"	".C"	"leachate.C"	-5.61697588710481	0	0.151577914582181	1.40130013576584e-300	9.03254712512398e-298	2.80260027153165e-300	1.37210638293737e-297	NA	"prevalence"	63	47
