"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Eukaryota;__;__;__;__;__;__"	"reads"	"reads"	"reads"	5.0971796609216	0	0.197138366288511	2.09122237653442e-147	8.33352117048964e-144	4.18244475306874e-147	1.18405010959376e-143	NA	"prevalence"	63	56
"d__Eukaryota;__;__;__;__;__;__"	"hpf"	"hpf"	"hpf"	-1.46803241771918	0	0.195988011837435	6.86538450518642e-14	1.36792786265839e-10	1.37307690103724e-13	1.94359035341821e-10	NA	"prevalence"	63	56
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group;g__NS9_marine_group;__"	"hpf"	"hpf"	"hpf"	-356.255383577586	0	52.8560813930391	1.58275404932697e-11	1.26145497731359e-08	1.58275404932697e-11	8.9615534272893e-09	NA	"prevalence"	63	4
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group;g__NS9_marine_group;__"	"leachate_mgL"	"hpf"	"leachate_mgL:hpf"	-562.555156939525	0	83.270549724418	1.42096600610695e-11	1.26145497731359e-08	1.42096600610695e-11	8.9615534272893e-09	NA	"prevalence"	63	4
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group;g__NS9_marine_group;__"	"leachate_mgL"	"leachate_mgL"	"leachate_mgL"	-705.7005578696	0	104.462474684224	1.42303002910705e-11	1.26145497731359e-08	1.42303002910705e-11	8.9615534272893e-09	NA	"prevalence"	63	4
"d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__JGI_0000069-P22;f__JGI_0000069-P22;g__JGI_0000069-P22;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	7.31317843800107	0	1.54779314494738	2.30220857021111e-06	0.00152905019204854	4.60441184025791e-06	0.00217251498662836	NA	"prevalence"	63	57
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Psychrobium;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	1.72858742386611	-0.292646933527551	0.180151320885268	8.1313847539487e-05	0.0462908117778365	8.1313847539487e-05	0.0328856431977554	NA	"abundance"	63	60
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__Thalassotalea_montiporae"	"hpf"	"hpf"	"hpf"	2.00193779699098	-0.292646933527551	0.300649467296315	0.000132867930441345	0.0588309669787513	0.000265718206995751	0.0940310305006214	NA	"abundance"	63	38
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__Thalassotalea_montiporae"	"hpf"	"hpf"	"hpf"	2.64026727081276	0	0.713671425186195	0.000215977139534796	0.0860668901046162	0.000265718206995751	0.0940310305006214	NA	"prevalence"	63	38
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter;__"	"hpf"	"hpf"	"hpf"	-1.58230698557692	0	0.4347289227438	0.000272897044752434	0.0988631566671318	0.000545719616707833	0.167066692726342	NA	"prevalence"	63	37
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	2.82908524056854	0	0.809303390673936	0.000472812570934833	0.157013174597942	0.000945401590142432	0.223035991807769	NA	"prevalence"	63	39
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_marine"	"hpf"	"hpf"	"hpf"	1.38786991905554	-0.292646933527551	0.155314860062032	0.000649146457078687	0.184774902247041	0.000649146457078687	0.167066692726342	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Algicola;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	1.41764965022024	-0.292646933527551	0.175057568591084	0.000619213238861637	0.184774902247041	0.000619213238861637	0.167066692726342	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;__"	"hpf"	"hpf"	"hpf"	1.26162258168569	-0.292646933527551	0.111588926210072	0.00107622090767121	0.285916021137984	0.00107622090767121	0.234367799201322	NA	"abundance"	63	63
"d__Eukaryota;__;__;__;__;__;__"	"reads"	"reads"	"reads"	0.655851320952444	-0.0387819410670975	0.201365659211548	0.00152838274813105	0.380662828206389	4.18244475306874e-147	1.18405010959376e-143	NA	"abundance"	63	56
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium;__"	"reads"	"reads"	"reads"	-0.82956786564223	-0.0387819410670975	0.195954003330103	0.00205629441615674	0.409716662419229	0.00410836048558755	0.553846120699922	NA	"abundance"	63	18
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__PS1_clade;g__PS1_clade;__"	"hpf"	"hpf"	"hpf"	-1.28208645917663	0	0.415250412705841	0.00201846447086545	0.409716662419229	0.00403285474291075	0.553846120699922	NA	"prevalence"	63	41
