"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY-1882"	"leachate"	".Q"	"leachate.Q"	-10.1786793002891	0	0.222654097896278	0	0	0	0	NA	"prevalence"	63	58
"PWY-5209"	"hpf"	"hpf"	"hpf"	3.95360101139505	0	0.045663716851027	0	0	0	0	NA	"prevalence"	63	57
"PWY-5209"	"leachate"	".Q"	"leachate.Q"	-9.40268395484398	0	0.0462439214882852	0	0	0	0	NA	"prevalence"	63	57
"PWY-5209"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	-9.73794659356087	0	0.0666928031448528	0	0	0	0	NA	"prevalence"	63	57
"PWY-7784"	"hpf"	"hpf"	"hpf"	3.95360101139505	0	0.045663716851027	0	0	0	0	NA	"prevalence"	63	57
"PWY-7784"	"leachate"	".Q"	"leachate.Q"	-9.40268395484398	0	0.0462439214882852	0	0	0	0	NA	"prevalence"	63	57
"PWY-7784"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	-9.73794659356087	0	0.0666928031448528	0	0	0	0	NA	"prevalence"	63	57
"PWY-5209"	"leachate"	".C:hpf"	"leachate.C:hpf"	1.52753947224275	0	0.0445421803505358	9.5684070396405e-258	4.91603490569974e-255	1.913681407928e-257	7.89712527671623e-255	NA	"prevalence"	63	57
"PWY-7784"	"leachate"	".C:hpf"	"leachate.C:hpf"	1.52753947224275	0	0.0445421803505358	9.5684070396405e-258	4.91603490569974e-255	1.913681407928e-257	7.89712527671623e-255	NA	"prevalence"	63	57
"PWY-1882"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	-5.59968238598891	0	0.167405078146021	2.5827594217288e-245	1.1942679566074e-242	5.1655188434572e-245	1.91847369846e-242	NA	"prevalence"	63	58
"PWY-1882"	"leachate"	".C:hpf"	"leachate.C:hpf"	-4.67851697112992	0	0.171809088563638	2.7976737715424e-163	1.17604031996473e-160	5.59534754308474e-163	1.88919279772879e-160	NA	"prevalence"	63	58
"PWY-5209"	"leachate"	".C"	"leachate.C"	1.37544646528864	0	0.0622782291694491	4.35601173438816e-108	1.5493998661393e-105	8.71202346877635e-108	2.48895808946426e-105	NA	"prevalence"	63	57
"PWY-7784"	"leachate"	".C"	"leachate.C"	1.37544646528864	0	0.0622782291694491	4.35601173438816e-108	1.5493998661393e-105	8.71202346877635e-108	2.48895808946426e-105	NA	"prevalence"	63	57
"PWY-5209"	"leachate"	".L:hpf"	"leachate.L:hpf"	0.853300629875064	0	0.0459410899045546	5.23623058692255e-77	1.61415534892866e-74	1.04724611738452e-76	2.59298138664407e-74	NA	"prevalence"	63	57
"PWY-7784"	"leachate"	".L:hpf"	"leachate.L:hpf"	0.853300629875064	0	0.0459410899045546	5.23623058692255e-77	1.61415534892866e-74	1.04724611738452e-76	2.59298138664407e-74	NA	"prevalence"	63	57
"PWY-1882"	"leachate"	".L:hpf"	"leachate.L:hpf"	2.72623438199921	0	0.234394336730592	2.86806965393001e-31	8.28872129985774e-29	5.73613930786007e-31	1.33150133683702e-28	NA	"prevalence"	63	58
"PWY-1882"	"hpf"	"hpf"	"hpf"	2.01801208249871	0	0.179504925581996	2.53288279303595e-29	6.88944119705777e-27	5.06576558607191e-29	1.10672078745124e-26	NA	"prevalence"	63	58
"METH-ACETATE-PWY"	"hpf"	"hpf"	"hpf"	-1.55449165626053	-0.0151391281227661	0.150991464548617	9.80592363819365e-14	2.26712954515037e-11	1.96118472763863e-13	3.3108363992954e-11	NA	"abundance"	63	62
"PWY-5209"	"leachate"	".L"	"leachate.L"	-0.535404411847704	0	0.0719264651335397	9.78482151047157e-14	2.26712954515037e-11	1.95696430209421e-13	3.3108363992954e-11	NA	"prevalence"	63	57
"PWY-7784"	"leachate"	".L"	"leachate.L"	-0.535404411847704	0	0.0719264651335397	9.78482151047157e-14	2.26712954515037e-11	1.95696430209421e-13	3.3108363992954e-11	NA	"prevalence"	63	57
"PWY-5652"	"hpf"	"hpf"	"hpf"	0.945566804868122	-0.0151391281227661	0.0930531830345941	1.92697382377733e-13	4.0501486187029e-11	1.92697382377733e-13	3.3108363992954e-11	NA	"abundance"	63	63
"PWY-5654"	"hpf"	"hpf"	"hpf"	0.945566804868122	-0.0151391281227661	0.0930531830345941	1.92538274886085e-13	4.0501486187029e-11	1.92538274886085e-13	3.3108363992954e-11	NA	"abundance"	63	63
"CODH-PWY"	"hpf"	"hpf"	"hpf"	-1.48548487557396	-0.0151391281227661	0.148152895497204	2.49797265343298e-13	5.02201110846701e-11	4.99594530686533e-13	7.7312253623741e-11	NA	"abundance"	63	62
"PWY-5647"	"hpf"	"hpf"	"hpf"	0.922270775722264	-0.0151391281227661	0.0914466530214603	2.65241523833125e-13	5.11032002585154e-11	2.65241523833125e-13	4.28307399789664e-11	NA	"abundance"	63	63
"PWY-6383"	"hpf"	"hpf"	"hpf"	-1.06327062020811	-0.0151391281227661	0.108926070406356	9.5092133136676e-13	1.75882409449596e-10	9.5092133136676e-13	1.41268872987846e-10	NA	"abundance"	63	63
"CRNFORCAT-PWY"	"hpf"	"hpf"	"hpf"	0.51712791401743	-0.0151391281227661	0.04917644875262	2.70993198481007e-12	4.81950980683145e-10	2.70993198481007e-12	3.87103361214792e-10	NA	"abundance"	63	63
"PWY0-321"	"hpf"	"hpf"	"hpf"	0.670366709506027	-0.0151391281227661	0.0708326748223706	6.28376271509376e-12	1.07615254794791e-09	6.28376271509376e-12	8.64366471254008e-10	NA	"abundance"	63	63
"PWY0-1533"	"hpf"	"hpf"	"hpf"	0.490236120406934	-0.0151391281227661	0.0480597410789033	8.45467167988946e-12	1.39622863742174e-09	8.45467167988946e-12	1.12145180782534e-09	NA	"abundance"	63	63
