function	101112C14	101112C4	101112C9	101112H14	101112H4	101112H9	101112L14	101112L4	101112L9	101112M14	101112M4	101112M9	123C14	123C4	123C9	123H14	123H4	123H9	123L14	123L4	123L9	123M4	123M9	131415C14	131415C4	131415C9	131415H14	131415H4	131415H9	131415L14	131415L4	131415L9	131415M14	131415M4	131415M9	13M14	456C4	456H4	456H9	456L14	456L4	456L9	456M14	456M4	456M9	45C14	45C9	45H14	67C9	6C14	789C4	789H14	789H4	789H9	789L14	789L4	789L9	789M14	789M4	7C14	89C14	89C9	89M9
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	643655.62	667393.5800000001	733368.24	649682.52	690794.99	555797.88	563669.5	560368.64	634081.27	741881.6	666252.33	697848.16	407669.77	646293.4299999999	630266.71	428055.95	556531.5	779523.51	535482.97	725145.1799999999	662321.96	562382.2	470351.38	659713.95	770572.36	641680.55	671214.48	466403.51	505919.32	958341.48	767983.6000000001	814408.51	726829.5	746237.92	843429.44	515670.39	494622.62	615612.45	542061.13	580299.04	584848.0700000001	470306.23	488805.83	364903.86	591909.8799999999	517843.2400000001	655723.8	530475.77	754992.84	618783.83	460348.42	743648.55	499059.62	465534.8	594094.67	371622.01	391173.04	465574.72	346525.24	608044.39	509017.52	353546.01	518927.34
1.1.1.127-RXN	193249.93	170844.34	327424.78	183851.3	239823.27	192744.39	159748.02000000002	178713.31	196259.8	167312.71	182030.67	198449.73	46113.48	41510.83	93000.77	63648.18000000001	34561.31	102145.32	65288.08	52039.65	99639.21	55561.05	68397.64	203453.38	282727.87	274052.67000000004	243695.03	141893.58000000002	184565.07	194642.79	179839.21000000002	240121.24	237388.88	292789.75999999995	222477.04	78616.7	68945.54000000001	162999.12	92544.08	107210.78	135449.53	82431.85	76518.98	33845.880000000005	153808.94	86568.18	103252.13	54361.67	282508.48	228095.44	132035.44	138156.66	128478.99	121113.04	110282.44	91210.36000000002	129173.51	110038.0	90445.68	162662.1	154156.91	94358.48	138999.07
1.1.1.136-RXN	18768.25	21174.03	10668.43	20806.42	29094.09	10635.82	17795.25	10220.04	11723.21	26240.01	36897.8	21934.49	38174.0	183674.39	55391.1	32292.42	154796.14	71945.87	73973.54000000001	193924.35	98603.93	158420.76	68107.12	19034.25	11037.42	7020.0	15720.18	7149.960000000001	7192.75	25988.6	12893.82	9338.92	16620.82	6480.389999999999	24073.39	86788.04999999999	104341.9	102880.11	45059.74	54868.25	105267.85	75701.18	46645.68	118909.16	74961.08	60554.08	142014.52	37208.68	29652.89	16510.510000000002	25930.58	41045.5	35308.33	18409.17	30452.82	20510.36	13708.0	23963.5	20821.0	16809.96	16460.92	21666.94	35993.71
1.1.1.145-RXN	24.5	177.67	73.0	30.33	457.67	35.0	14.5	89.0	42.0	26.5	429.83	612.1700000000001	0.0	1334.83	137.32999999999998	10.0	191.25	82.83	61.0	297.92	1004.16	562.0	533.6700000000001	6.0	257.84000000000003	6.0	62.83	24.5	40.0	10.0	160.0	132.5	20.0	102.17	204.0	60.92	54.83	207.5	33.84	39.5	257.5	127.0	73.5	108.5	441.83	17.5	95.0	3.0	256.0	13.5	345.5	77.5	113.17	50.0	18.67	168.5	6.5	0.0	43.0	70.0	118.17	95.0	87.17
1.1.1.178-RXN	0.0	0.0	0.75	0.0	90.0	0.0	0.0	0.0	0.0	0.0	18.0	66.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	22.0	0.0	7.0	29.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	40.0	0.0	69988.0	0.0	6.0	58001.0	15665.0	0.0	0.62	27577.0	6418.0	17670.0	0.0	54236.0	13613.33	28.0	0.0	0.0	4.75	0.0	0.0	0.0	0.0	15.0	11237.0	0.0	0.0	0.0
1.1.1.211-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	13.0	2635.0	0.0	0.0	2838.0	685.0	0.0	0.0	1094.0	395.0	976.0	0.0	1627.0	335.0	10.0	0.0	26.0	0.0	0.0	24.0	0.0	0.0	5.0	514.0	0.0	0.0	0.0
1.1.1.215-RXN	49690.12	27886.54	44676.33	46512.66	26049.35	33306.869999999995	54678.58	19707.3	49454.52	52491.27	26108.52	33550.51	12727.67	10088.55	7313.17	6750.13	5864.42	5514.74	11975.08	11613.9	9599.47	6694.09	9474.21	71279.48999999999	32161.77	33322.9	54072.41	16796.64	22050.64	80077.36	35308.01	45908.67	55243.740000000005	28228.49	42970.94	21804.230000000003	8512.78	119815.99	8522.8	13444.49	104643.49	37720.61	27194.08	3590.3	66635.8	36922.36	39121.25	5690.64	111251.59	84545.85	11668.14	51211.240000000005	10516.84	19488.2	43779.9	10955.62	24936.590000000004	34286.38	10208.55	57641.82	44511.75	22686.45	24524.51
1.1.1.251-RXN	1.29	7.71	1.86	0.57	25.64	0.0	1.57	13.57	0.0	1.71	18.79	10.57	0.0	120.04999999999998	16.28	0.0	24.0	3.0	1.0	6.57	30.47	38.43	3.14	3.57	7.96	3.57	1.42	7.86	0.57	0.0	43.57	2.29	0.0	5.14	5.0	10.24	10.43	25.14	5.38	1.5	17.29	2.57	1.57	3.71	9.86	1.14	6.86	1.86	4.86	3.0	5.43	2.0	29.0	1.0	0.0	21.29	0.0	2.29	15.14	4.14	2.29	3.29	12.0
1.1.1.253-RXN	378357.03	338945.68999999994	609176.58	338698.24	474559.21	353546.69	254946.3	302302.15	358435.94999999995	363835.49	354227.1	370598.0	145458.98	237897.98	280902.27	130170.11	207974.9	317595.02	200434.24	256532.45	253591.86	238130.96	207612.77	360744.47	584995.9	492921.39	419838.56000000006	285279.0	323108.21	448168.48	275643.53	438308.15	386209.95	590653.26	411404.1499999999	207633.49	219034.96	304398.31	241962.92	263683.72	275063.35	246382.55	220554.29	172493.72999999998	289676.56	203943.22	325573.80000000005	191299.42	497998.81	352453.49000000005	278788.2	359555.09	261527.2	242079.08	316556.08	190538.17	237980.84	255489.04	175573.13	339655.95000000007	266030.81	183260.13	288478.97000000003
1.1.1.261-RXN	59.29	343.46	140.86	66.57	574.92	92.63	82.43	611.17	47.14	86.83	1023.66	655.23	0.0	1883.94	197.6	28.0	234.87	609.17	85.3	429.23	4247.27	824.3100000000001	1255.5	14.82	542.4	236.57	60.86	320.11	57.57	52.86	691.57	51.02	38.0	155.03000000000003	220.25	96.82	89.16999999999999	891.79	28.28	64.5	1014.52	782.7900000000001	65.57	554.13	1013.4	241.53	430.19	186.47000000000003	838.23	189.91000000000005	239.55	131.25	215.25	54.88	56.0	571.93	116.0	22.29	279.64	216.56	112.42	192.17	90.94
