feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
EC.2.1.1.13	timepoint	timepoint	0.16812768473327	0.0065104870422893	63	63	3.76528378204641e-33	1.64844123977992e-29
EC.6.3.1.11	timepoint	timepoint	-1.18467965568334	0.0665413365485475	63	63	1.59239585025512e-23	3.48575451620846e-20
EC.1.9.3.1	timepoint	timepoint	0.0387320477026874	0.00256776017028652	63	63	1.02120533342542e-21	1.11770923743412e-18
EC.2.7.7.9	timepoint	timepoint	0.109886411220533	0.00676000138566179	63	63	9.59715053795188e-22	1.11770923743412e-18
EC.1.2.1.68	timepoint	timepoint	-0.23267379867581	0.0151179971266621	63	63	3.20527962775581e-21	2.80654284206299e-18
EC.2.7.7.24	timepoint	timepoint	-0.168436815665289	0.0114242444962411	63	63	9.20253254422605e-21	6.71478124643694e-18
EC.1.6.5.2	timepoint	timepoint	-0.0586011598509576	0.00398259501867696	63	63	2.60917852577187e-20	1.30444193151859e-17
EC.2.7.7.13	timepoint	timepoint	0.0702737567589757	0.00480650870495346	63	63	2.52702675195877e-20	1.30444193151859e-17
EC.2.7.7.82	timepoint	timepoint	-1.00116988341852	0.0677604710432645	63	63	2.68158460111176e-20	1.30444193151859e-17
EC.1.5.1.2	timepoint	timepoint	0.0408900191502436	0.00271955575950313	63	63	3.41813652289181e-20	1.49646016972204e-17
EC.4.2.1.46	timepoint	timepoint	-0.168593079986263	0.0118677293396949	63	63	5.312746609591e-20	2.11447315061722e-17
EC.3.1.13.5	timepoint	timepoint	0.0483371895775154	0.00331871837569612	63	63	9.00234293998139e-20	3.28435478260321e-17
EC.1.1.1.85	timepoint	timepoint	0.0365765412271859	0.00250046138636593	63	63	1.15655164820584e-19	3.56531333909229e-17
EC.2.4.99.12	timepoint	timepoint	0.0637739670457389	0.00447246554942213	63	63	1.62874067569314e-19	3.56531333909229e-17
EC.2.4.99.13	timepoint	timepoint	0.0637739670457389	0.00447246554942213	63	63	1.62874067569314e-19	3.56531333909229e-17
EC.2.4.99.14	timepoint	timepoint	0.0637739670457389	0.00447246554942213	63	63	1.62874067569314e-19	3.56531333909229e-17
EC.2.4.99.15	timepoint	timepoint	0.0637739670457389	0.00447246554942213	63	63	1.62874067569314e-19	3.56531333909229e-17
EC.2.7.1.113	timepoint	timepoint	-1.32403526148303	0.0920074783446265	63	63	1.06998807527177e-19	3.56531333909229e-17
EC.2.7.7.65	timepoint	timepoint	0.631143485065886	0.0462782420012756	63	63	1.25728034088399e-19	3.56531333909229e-17
EC.4.2.1.96	timepoint	timepoint	0.0365215410610789	0.00274561762301729	63	63	1.50550151672823e-19	3.56531333909229e-17
EC.2.1.1.67	timepoint	timepoint	-0.165736881112659	0.0123509886767893	63	63	1.82309467697345e-19	3.80071833132846e-17
EC.5.1.3.7	timepoint	timepoint	0.910657205458607	0.066708772582146	63	63	1.91082048180531e-19	3.80253275879257e-17
EC.2.2.1.6	timepoint	timepoint	0.0764931195881461	0.00571398967990446	63	63	2.15644207323223e-19	3.93370974858779e-17
EC.5.3.1.16	timepoint	timepoint	0.0355575084895032	0.00247664575905759	63	63	2.11052754215491e-19	3.93370974858779e-17
EC.4.2.2.6	timepoint	timepoint	-0.583165125021586	0.0424507832607012	63	63	5.45030636662815e-19	9.54457650923922e-17
EC.2.6.1.48	timepoint	timepoint	-1.79889330272333	0.132402606251567	63	62	1.38505656836111e-18	2.33222217549421e-16
EC.5.1.3.2	timepoint	timepoint	0.134515661060432	0.0102156789494847	63	63	2.40173714163345e-18	3.89437229854491e-16
EC.6.1.1.17	timepoint	timepoint	0.0417570221052248	0.00310298269828534	63	63	2.69202439274072e-18	4.20917242550675e-16
EC.1.13.12.3	timepoint	timepoint	-1.70098125779445	0.134309281422274	63	60	2.86760478574638e-18	4.32909439724056e-16
EC.2.5.1.47	timepoint	timepoint	-0.0636075865934678	0.00498979836460168	63	63	3.35291821100859e-18	4.89302530926521e-16
