2025-05-20 14:28:13 INFO::Writing function arguments to log file
2025-05-20 14:28:13 DEBUG::Function arguments
2025-05-20 14:28:13 DEBUG::Output folder: filtered_path_TSS_output
2025-05-20 14:28:13 DEBUG::Min Abundance: 0.001000
2025-05-20 14:28:13 DEBUG::Min Prevalence: 0.050000
2025-05-20 14:28:13 DEBUG::Normalization: TSS
2025-05-20 14:28:13 DEBUG::Transform: LOG
2025-05-20 14:28:13 DEBUG::Analysis method: LM
2025-05-20 14:28:13 DEBUG::Max significance: 0.250000
2025-05-20 14:28:13 DEBUG::Random effects: cross
2025-05-20 14:28:13 DEBUG::Fixed effects: leachate,timepoint
2025-05-20 14:28:13 DEBUG::Correction method: BH
2025-05-20 14:28:13 DEBUG::Standardize: TRUE
2025-05-20 14:28:13 DEBUG::Cores: 1
2025-05-20 14:28:13 INFO::Verifying options selected are valid
2025-05-20 14:28:13 INFO::Determining format of input files
2025-05-20 14:28:13 INFO::Input format is data samples as rows and metadata samples as rows
2025-05-20 14:28:13 DEBUG::A total of 63 samples were found in both the data and metadata
2025-05-20 14:28:13 DEBUG::Reordering data/metadata to use same sample ordering
2025-05-20 14:28:13 INFO::Formula for random effects: expr ~ (1 | cross)
2025-05-20 14:28:13 INFO::Formula for fixed effects: expr ~  leachate + timepoint
2025-05-20 14:28:13 INFO::Filter data based on min abundance and min prevalence
2025-05-20 14:28:13 INFO::Total samples in data: 63
2025-05-20 14:28:13 INFO::Min samples required with min abundance for a feature not to be filtered: 3.150000
2025-05-20 14:28:13 INFO::Total filtered features: 14
2025-05-20 14:28:13 INFO::Filtered feature names from abundance and prevalence filtering: BENZCOA.PWY, CENTBENZCOA.PWY, PWY.3081, PWY.5184, PWY.5675, PWY.5743, PWY.5744, PWY.6143, PWY.622, PWY.7024, PWY.7031, PWY.7084, PWY.7385, PWY5F9.12
2025-05-20 14:28:13 INFO::Total filtered features with variance filtering: 0
2025-05-20 14:28:13 INFO::Filtered feature names from variance filtering:
2025-05-20 14:28:13 INFO::Running selected normalization method: TSS
2025-05-20 14:28:13 INFO::Applying z-score to standardize continuous metadata
2025-05-20 14:28:13 INFO::Running selected transform method: LOG
2025-05-20 14:28:13 INFO::Running selected analysis method: LM
2025-05-20 14:28:13 INFO::Fitting model to feature number 1, X1CMET2.PWY
2025-05-20 14:28:13 INFO::Fitting model to feature number 2, X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY
2025-05-20 14:28:13 INFO::Fitting model to feature number 3, AEROBACTINSYN.PWY
2025-05-20 14:28:13 INFO::Fitting model to feature number 4, ALL.CHORISMATE.PWY
2025-05-20 14:28:13 INFO::Fitting model to feature number 5, ANAEROFRUCAT.PWY
2025-05-20 14:28:13 INFO::Fitting model to feature number 6, ANAGLYCOLYSIS.PWY
2025-05-20 14:28:13 INFO::Fitting model to feature number 7, ARG...SYN
2025-05-20 14:28:13 INFO::Fitting model to feature number 8, ARGDEG.PWY
2025-05-20 14:28:13 INFO::Fitting model to feature number 9, ARGORNPROST.PWY
2025-05-20 14:28:13 INFO::Fitting model to feature number 10, ARGSYN.PWY
2025-05-20 14:28:13 INFO::Fitting model to feature number 11, ARGSYNBSUB.PWY
2025-05-20 14:28:13 INFO::Fitting model to feature number 12, ARO.PWY
2025-05-20 14:28:13 INFO::Fitting model to feature number 13, ASPASN.PWY
2025-05-20 14:28:13 INFO::Fitting model to feature number 14, AST.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 15, BIOTIN.BIOSYNTHESIS.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 16, BRANCHED.CHAIN.AA.SYN.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 17, CALVIN.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 18, CATECHOL.ORTHO.CLEAVAGE.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 19, CENTFERM.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 20, CHLOROPHYLL.SYN
2025-05-20 14:28:14 INFO::Fitting model to feature number 21, COA.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 22, COBALSYN.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 23, CODH.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 24, COLANSYN.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 25, COMPLETE.ARO.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 26, CRNFORCAT.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 27, DAPLYSINESYN.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 28, DENITRIFICATION.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 29, DENOVOPURINE2.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 30, DHGLUCONATE.PYR.CAT.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 31, DTDPRHAMSYN.PWY
2025-05-20 14:28:14 INFO::Fitting model to feature number 32, ECASYN.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 33, ENTBACSYN.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 34, FAO.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 35, FASYN.ELONG.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 36, FASYN.INITIAL.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 37, FERMENTATION.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 38, FOLSYN.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 39, FUC.RHAMCAT.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 40, FUCCAT.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 41, GALACT.GLUCUROCAT.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 42, GALACTARDEG.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 43, GALACTUROCAT.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 44, GALLATE.DEGRADATION.I.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 45, GALLATE.DEGRADATION.II.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 46, GLCMANNANAUT.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 47, GLUCARDEG.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 48, GLUCARGALACTSUPER.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 49, GLUCONEO.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 50, GLUCOSE1PMETAB.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 51, GLUCUROCAT.PWY
2025-05-20 14:28:15 INFO::Fitting model to feature number 52, GLUTORN.PWY
2025-05-20 14:28:16 INFO::Fitting model to feature number 53, GLYCOCAT.PWY
2025-05-20 14:28:16 INFO::Fitting model to feature number 54, GLYCOGENSYNTH.PWY
2025-05-20 14:28:16 INFO::Fitting model to feature number 55, GLYCOL.GLYOXDEG.PWY
2025-05-20 14:28:16 INFO::Fitting model to feature number 56, GLYCOLYSIS
2025-05-20 14:28:16 INFO::Fitting model to feature number 57, GLYCOLYSIS.E.D
2025-05-20 14:28:16 INFO::Fitting model to feature number 58, GLYCOLYSIS.TCA.GLYOX.BYPASS
2025-05-20 14:28:16 INFO::Fitting model to feature number 59, GLYOXYLATE.BYPASS
2025-05-20 14:28:16 INFO::Fitting model to feature number 60, GOLPDLCAT.PWY
2025-05-20 14:28:16 INFO::Fitting model to feature number 61, HCAMHPDEG.PWY
2025-05-20 14:28:16 INFO::Fitting model to feature number 62, HEME.BIOSYNTHESIS.II
2025-05-20 14:28:16 INFO::Fitting model to feature number 63, HEMESYN2.PWY
2025-05-20 14:28:16 INFO::Fitting model to feature number 64, HEXITOLDEGSUPER.PWY
2025-05-20 14:28:16 INFO::Fitting model to feature number 65, HISDEG.PWY
2025-05-20 14:28:16 INFO::Fitting model to feature number 66, HISTSYN.PWY
2025-05-20 14:28:16 INFO::Fitting model to feature number 67, HOMOSER.METSYN.PWY
2025-05-20 14:28:16 INFO::Fitting model to feature number 68, HSERMETANA.PWY
2025-05-20 14:28:16 INFO::Fitting model to feature number 69, ILEUSYN.PWY
2025-05-20 14:28:16 INFO::Fitting model to feature number 70, KDO.NAGLIPASYN.PWY
2025-05-20 14:28:16 INFO::Fitting model to feature number 71, KETOGLUCONMET.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 72, LACTOSECAT.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 73, LEU.DEG2.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 74, LIPASYN.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 75, LPSSYN.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 76, MET.SAM.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 77, METH.ACETATE.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 78, METHANOGENESIS.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 79, METHGLYUT.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 80, METHYLGALLATE.DEGRADATION.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 81, NAD.BIOSYNTHESIS.II
2025-05-20 14:28:17 INFO::Fitting model to feature number 82, NADSYN.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 83, NAGLIPASYN.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 84, NONMEVIPP.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 85, NONOXIPENT.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 86, OANTIGEN.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 87, ORNARGDEG.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 88, ORNDEG.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 89, P101.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 90, P105.PWY
2025-05-20 14:28:17 INFO::Fitting model to feature number 91, P108.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 92, P122.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 93, P124.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 94, P125.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 95, P161.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 96, P162.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 97, P163.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 98, P164.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 99, P184.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 100, P221.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 101, P23.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 102, P241.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 103, P261.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 104, P281.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 105, P341.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 106, P381.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 107, P4.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 108, P42.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 109, P441.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 110, P461.PWY
2025-05-20 14:28:18 INFO::Fitting model to feature number 111, P562.PWY
2025-05-20 14:28:19 INFO::Fitting model to feature number 112, P621.PWY
2025-05-20 14:28:19 INFO::Fitting model to feature number 113, PANTO.PWY
2025-05-20 14:28:19 INFO::Fitting model to feature number 114, PANTOSYN.PWY
2025-05-20 14:28:19 INFO::Fitting model to feature number 115, PENTOSE.P.PWY
