feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.6749	timepoint	timepoint	-0.994688507284983	0.0661888089000568	63	63	1.35146693393007e-20	1.11631168742624e-17
FUCCAT.PWY	timepoint	timepoint	-1.37596140156139	0.100452329436915	63	63	9.66514676172297e-19	3.99170561259159e-16
DHGLUCONATE.PYR.CAT.PWY	timepoint	timepoint	-1.76241616811654	0.144313215893765	63	61	1.26502964037008e-17	3.48304827648562e-15
PWY.5654	timepoint	timepoint	0.773279396097819	0.0647929660076139	63	63	1.73958510356367e-17	3.59224323885897e-15
DTDPRHAMSYN.PWY	timepoint	timepoint	-0.165013020403771	0.0136978557714104	63	63	2.97812107367101e-17	4.91985601370451e-15
PWY.6263	timepoint	timepoint	-1.09313732151114	0.091090581539582	63	62	4.59290197486968e-17	6.32289505207059e-15
PWY.5647	timepoint	timepoint	0.804447887074454	0.0698874245386613	63	63	7.96226711192392e-17	9.39547519207022e-15
PWY1G.0	timepoint	timepoint	-1.37668527357927	0.129830709341576	63	62	2.21703631183114e-15	2.28908999196565e-13
HCAMHPDEG.PWY	timepoint	timepoint	-1.50895907750883	0.139654062788257	63	60	6.43006521995732e-15	4.58180674693362e-13
PWY.6690	timepoint	timepoint	-1.50895907750883	0.139654062788257	63	60	6.43006521995732e-15	4.58180674693362e-13
PWY.6944	timepoint	timepoint	-1.40887490930775	0.133396234958826	63	62	5.22699686023325e-15	4.58180674693362e-13
PWY0.1277	timepoint	timepoint	-1.49777050504698	0.138779678151187	63	60	6.65637784058152e-15	4.58180674693362e-13
X1CMET2.PWY	timepoint	timepoint	0.0356817993400549	0.00335633704934348	63	63	9.32333012296242e-15	5.92390052428228e-13
PWY.5989	timepoint	timepoint	-0.0343304415672109	0.00327785091571817	63	63	1.27586190843362e-14	7.52758525975835e-13
P461.PWY	timepoint	timepoint	-0.470298496419497	0.0447929685713977	63	63	1.37975079924068e-14	7.59782773448532e-13
PWY.6397	timepoint	timepoint	-1.46944370352213	0.145743552865442	63	62	1.56543196742605e-14	8.08154253183701e-13
PWY0.1061	timepoint	timepoint	0.0573556310243277	0.00541370932732008	63	63	2.77051226749951e-14	1.34614301938506e-12
PWY.6467	timepoint	timepoint	0.0609215392615316	0.00606612357652607	63	63	8.09878760200709e-14	3.71644364403214e-12
PWY.6383	timepoint	timepoint	-1.34321488100456	0.139636525564547	63	62	1.21792295249693e-13	5.29475978296034e-12
GLUCONEO.PWY	timepoint	timepoint	0.0284626412714045	0.00290930410167828	63	63	1.46995524653683e-13	6.07091516819709e-12
PWY.6505	timepoint	timepoint	0.623317778562198	0.0667650504575097	63	63	3.74960904389936e-13	1.40780775920949e-11
PWY.7007	timepoint	timepoint	-1.38207337918796	0.148005292520581	63	62	3.74131531867752e-13	1.40780775920949e-11
PWY.6731	timepoint	timepoint	-1.97546520657278	0.206896208905911	63	51	4.41850100358813e-13	1.586818186506e-11
PWY.6641	timepoint	timepoint	0.597201627079465	0.062432833562439	63	63	4.82839995597949e-13	1.66177431818294e-11
PWY.6210	timepoint	timepoint	0.701724061570458	0.075820896372573	63	63	5.46909197519261e-13	1.80698798860364e-11
PWY.5655	timepoint	timepoint	0.609854553428456	0.0663567494230438	63	63	6.35494750898893e-13	2.01891793939417e-11
PWY.7371	timepoint	timepoint	-0.805210428612524	0.0856692974283819	63	63	7.11781480515293e-13	2.17752408483567e-11
PWY0.845	timepoint	timepoint	-0.493333072446484	0.0526360359024861	63	63	9.46548881809201e-13	2.79231920133714e-11
PWY.7373	timepoint	timepoint	-0.810988085487103	0.0872258421492795	63	63	1.01342140678247e-12	2.88650373104249e-11
PWY.5417	timepoint	timepoint	-0.362114903748202	0.040409051744355	63	63	2.20416627283522e-12	5.87303658503836e-11
PWY.5431	timepoint	timepoint	-0.362114903748202	0.040409051744355	63	63	2.20416627283522e-12	5.87303658503836e-11
PWY.7616	timepoint	timepoint	-1.38452921461445	0.156674222860824	63	62	2.35673357793443e-12	6.08331854804325e-11
PWY0.1338	timepoint	timepoint	-2.00686270990014	0.21974137973999	63	62	2.65885382773575e-12	6.6551917021507e-11
